"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"short_desc"
"7"	"7"	"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE"	"GOBP_MITOCHONDRIAL_GENOME_MAINTENANCE"	"9/1991"	"30/17939"	0.00409551415400215	0.0279607324341134	0.0226446361973937	"RRM1/PARP1/MGME1/DNAJA3/TOP3A/ENDOG/LIG3/PRIMPOL/SLC25A33"	9	"Mitochondrial genome maintenance"
"7"	"7"	"GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY"	"GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY"	"9/1991"	"30/17939"	0.00409551415400215	0.0279607324341134	0.0226446361973937	"AURKB/WRAP53/CCT2/XRCC5/PTGES3/TCP1/CCT4/DKC1/ACD"	9	"Pos. reg. telomerase activity"
"7"	"7"	"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY"	"KEGG_MEDICUS_PATHOGEN_SALMONELLA_SOPB_TO_ARNO_ARF_ACTB_G_SIGNALING_PATHWAY"	"9/1991"	"30/17939"	0.00409551415400215	0.0279607324341134	0.0226446361973937	"ARPC5L/ARPC4/ARPC1A/ARPC2/ACTB/ACTR3/ACTR2/ARPC5/ARF6"	9	"Mdcspthgnslmnllspbtarnarfactbgsgnlngpthwy."
"7"	"7"	"REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"	"REACTOME_SYNTHESIS_OF_ACTIVE_UBIQUITIN_ROLES_OF_E1_AND_E2_ENZYMES"	"9/1991"	"30/17939"	0.00409551415400215	0.0279607324341134	0.0226446361973937	"UBE2C/UBE2T/UBE2S/UBE2L3/UBA1/USP5/UCHL3/UBA6/USP7"	9	"Synthesisofactiveubiquitinrolesofe1ande2."
"7"	"7"	"GOMF_DISULFIDE_OXIDOREDUCTASE_ACTIVITY"	"GOMF_DISULFIDE_OXIDOREDUCTASE_ACTIVITY"	"11/1991"	"41/17939"	0.00411656160852836	0.0280582403802323	0.0227236052291035	"PDIA6/TXN/TXNDC17/GSTO1/PDIA4/SELENOT/GLRX2/TMX2/NXN/TMX1/TXNRD2"	11	"Disulfide oxidoreductase activity"
"7"	"7"	"GOMF_HSP90_PROTEIN_BINDING"	"GOMF_HSP90_PROTEIN_BINDING"	"11/1991"	"41/17939"	0.00411656160852836	0.0280582403802323	0.0227236052291035	"STIP1/KPNB1/PTGES3/CDC37/NUP62/TELO2/PPP5C/AHSA1/TTC4/CHORDC1/SLC12A2"	11	"Hsp90 protein binding"
"7"	"7"	"GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS"	"GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS"	"35/1991"	"200/17939"	0.00427044459915574	0.0289509717569611	0.0234466040738461	"CDC20/EZR/PLK1/AURKA/DTL/BARD1/MSN/PSMC3/VCP/RBX1/CAV1/HSP90AA1/RAD23A/PSMC5/USP13/PSMC4/USP5/PSMC2/APC/SH3RF1/AKT1/PSMC1/HSPBP1/BBS7/TMX1/UBQLN1/DDA1/FBXL5/CUL4A/SGTA/TMTC3/FAF1/LPCAT1/DVL1/FZR1"	35	"Pos. reg. protein catabolic process"
"7"	"7"	"GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS"	"GOBP_NLS_BEARING_PROTEIN_IMPORT_INTO_NUCLEUS"	"7/1991"	"20/17939"	0.00430332553898898	0.0289509717569611	0.0234466040738461	"KPNA2/KPNB1/NUP35/KPNA3/KPNA4/NUP54/KPNA1"	7	"Nls bearing protein import into nucleus"
"7"	"7"	"GOBP_PORE_COMPLEX_ASSEMBLY"	"GOBP_PORE_COMPLEX_ASSEMBLY"	"7/1991"	"20/17939"	0.00430332553898898	0.0289509717569611	0.0234466040738461	"NUP205/NDC1/NUP107/NUP93/NUP153/AHCTF1/NUP98"	7	"Pore complex assembly"
"7"	"7"	"GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX"	"GOBP_PROTEIN_IMPORT_INTO_MITOCHONDRIAL_MATRIX"	"7/1991"	"20/17939"	0.00430332553898898	0.0289509717569611	0.0234466040738461	"TOMM40/TIMM17A/TIMM50/TIMM23/GRPEL1/TIMM21/PAM16"	7	"Protein import into mitochondrial matrix"
"7"	"7"	"GOCC_PROTEASOME_CORE_COMPLEX"	"GOCC_PROTEASOME_CORE_COMPLEX"	"7/1991"	"20/17939"	0.00430332553898898	0.0289509717569611	0.0234466040738461	"PSMA2/PSMB3/PSMB6/PSMA7/PSMB2/PSMA3/PSMB7"	7	"Proteasome core complex"
"7"	"7"	"GOMF_DNA_DAMAGE_SENSOR_ACTIVITY"	"GOMF_DNA_DAMAGE_SENSOR_ACTIVITY"	"7/1991"	"20/17939"	0.00430332553898898	0.0289509717569611	0.0234466040738461	"UHRF1/RAD51/MSH2/MSH6/MLH1/RAD51C/RAD51D"	7	"Downa damage sensor activity"
"7"	"7"	"REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE"	"REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE"	"7/1991"	"20/17939"	0.00430332553898898	0.0289509717569611	0.0234466040738461	"TUBB2A/TUBB4B/TUBB3/TUBB6/TUBA1C/TUBA1B/TUBA1A"	7	"Transportofconnexonstotheplasmamembrane."
"7"	"7"	"GOBP_MEMBRANE_RAFT_ORGANIZATION"	"GOBP_MEMBRANE_RAFT_ORGANIZATION"	"8/1991"	"25/17939"	0.00432609472858211	0.0289509717569611	0.0234466040738461	"CAV2/CAV1/ANXA2/EMP2/MYADM/PPT1/FLOT1/PACSIN2"	8	"Membrane raft organization"
"7"	"7"	"GOBP_PLATELET_DENSE_GRANULE_ORGANIZATION"	"GOBP_PLATELET_DENSE_GRANULE_ORGANIZATION"	"8/1991"	"25/17939"	0.00432609472858211	0.0289509717569611	0.0234466040738461	"AP1B1/AP1M1/AP3D1/AP1S1/F2R/AP1S2/HPS3/HPS5"	8	"Platelet dense granule organization"
"7"	"7"	"GOBP_REGULATION_OF_MITOCHONDRIAL_TRANSLATION"	"GOBP_REGULATION_OF_MITOCHONDRIAL_TRANSLATION"	"8/1991"	"25/17939"	0.00432609472858211	0.0289509717569611	0.0234466040738461	"C1QBP/UQCC2/MPV17L2/TSFM/TACO1/CDK5RAP1/TRMT10C/RCC1L"	8	"Regulation of mitochondrial translation"
"7"	"7"	"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES"	"KEGG_MEDICUS_REFERENCE_ACTIVATION_OF_PRC2.2_BY_UBIQUITINATION_OF_H2AK119_IN_GERMLINE_GENES"	"8/1991"	"25/17939"	0.00432609472858211	0.0289509717569611	0.0234466040738461	"EZH2/TFDP1/RBBP7/WDR5/SUZ12/L3MBTL2/EED/PCGF6"	8	"Actvtnofprc2.2byubqtntnofh2k119ingrmlngns."
"7"	"7"	"REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS"	"REACTOME_DEFECTIVE_INTRINSIC_PATHWAY_FOR_APOPTOSIS"	"8/1991"	"25/17939"	0.00432609472858211	0.0289509717569611	0.0234466040738461	"LMNB1/CAPN2/C1QBP/YWHAE/PRDX1/LMNA/CDC25B/CAPN1"	8	"Defective intrinsic pathway for apoptosis"
"7"	"7"	"WP_WARBURG_EFFECT_MODULATED_BY_DEUBIQUITINATING_ENZYMES_AND_THEIR_SUBSTRATES"	"WP_WARBURG_EFFECT_MODULATED_BY_DEUBIQUITINATING_ENZYMES_AND_THEIR_SUBSTRATES"	"8/1991"	"25/17939"	0.00432609472858211	0.0289509717569611	0.0234466040738461	"PGAM1/LDHA/U2AF2/AKT1/MTOR/USP7/USP37/SIRT7"	8	"Wrbrgeffctmdltdbydbqtntngenzymsandthrsbst."
"7"	"7"	"GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY"	"GOMF_CYCLIN_DEPENDENT_PROTEIN_SERINE_THREONINE_KINASE_REGULATOR_ACTIVITY"	"12/1991"	"47/17939"	0.00433209626537727	0.0289509717569611	0.0234466040738461	"CCNB1/CCNB2/CKS2/CCNA2/CKS1B/CCND3/CCND1/CCNQ/CCNYL1/CDKN2D/CCNK/CDKN2C"	12	"Cyclindependentprtnsrnthrnnknsrgltractvty."
"7"	"7"	"GOMF_LIGASE_ACTIVITY_FORMING_CARBON_NITROGEN_BONDS"	"GOMF_LIGASE_ACTIVITY_FORMING_CARBON_NITROGEN_BONDS"	"12/1991"	"47/17939"	0.00433209626537727	0.0289509717569611	0.0234466040738461	"MTHFD1/CTPS1/PFAS/PAICS/CAD/GMPS/TTL/TTLL12/GSS/GART/GATB/TTLL5"	12	"Ligaseactivityformingcarbonnitrogenbonds."
"7"	"7"	"REACTOME_HIV_TRANSCRIPTION_INITIATION"	"REACTOME_HIV_TRANSCRIPTION_INITIATION"	"12/1991"	"47/17939"	0.00433209626537727	0.0289509717569611	0.0234466040738461	"POLR2E/POLR2L/POLR2F/GTF2A2/TAF15/POLR2C/POLR2D/GTF2H3/ERCC2/TAF6/TAF9B/GTF2H2"	12	"Hiv transcription initiation"
"7"	"7"	"GOBP_2FE_2S_CLUSTER_ASSEMBLY"	"GOBP_2FE_2S_CLUSTER_ASSEMBLY"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"GLRX3/NDUFAB1/GLRX5/FXN/BOLA2"	5	"2fe 2s cluster assembly"
"7"	"7"	"GOBP_CENTROMERIC_SISTER_CHROMATID_COHESION"	"GOBP_CENTROMERIC_SISTER_CHROMATID_COHESION"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"BUB1/BUB1B/SGO1/NAA50/CTCF"	5	"Centromeric sister chromatid cohesion"
"7"	"7"	"GOBP_CRD_MEDIATED_MRNA_STABILIZATION"	"GOBP_CRD_MEDIATED_MRNA_STABILIZATION"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"SYNCRIP/HNRNPD/HNRNPU/YBX1/DHX9"	5	"Crd mediated mRNA stabilization"
"7"	"7"	"GOBP_MITOTIC_DNA_REPLICATION_CHECKPOINT_SIGNALING"	"GOBP_MITOTIC_DNA_REPLICATION_CHECKPOINT_SIGNALING"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"CLSPN/CDC6/DONSON/TOPBP1/NAE1"	5	"Mitoticdownreplicationcheckpointsignaling."
"7"	"7"	"GOBP_NEGATIVE_REGULATION_OF_PLATELET_AGGREGATION"	"GOBP_NEGATIVE_REGULATION_OF_PLATELET_AGGREGATION"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"CD9/UBASH3B/TMX1/SH2B3/PRKCD"	5	"Negativeregulationofplateletaggregation."
"7"	"7"	"GOBP_PLASMA_MEMBRANE_RAFT_ORGANIZATION"	"GOBP_PLASMA_MEMBRANE_RAFT_ORGANIZATION"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"CAV2/CAV1/EMP2/FLOT1/PACSIN2"	5	"Plasma membrane raft organization"
"7"	"7"	"GOCC_CONTRACTILE_RING"	"GOCC_CONTRACTILE_RING"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"PRC1/ANLN/KIF20B/PDXP/DAG1"	5	"Contractile ring"
"7"	"7"	"GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX"	"GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"SDF2L1/PDIA6/HSPA5/DNAJB11/HYOU1"	5	"ER chaperone complex"
"7"	"7"	"GOCC_SMN_COMPLEX"	"GOCC_SMN_COMPLEX"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"STRAP/GEMIN6/GEMIN4/GEMIN5/DDX20"	5	"Smn complex"
"7"	"7"	"GOMF_HISTONE_H3_KINASE_ACTIVITY"	"GOMF_HISTONE_H3_KINASE_ACTIVITY"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"AURKA/VRK1/CHEK1/RPS6KA4/PRKCA"	5	"Histone h3 kinase activity"
"7"	"7"	"GOMF_MISMATCH_REPAIR_COMPLEX_BINDING"	"GOMF_MISMATCH_REPAIR_COMPLEX_BINDING"	"5/1991"	"11/17939"	0.00435224373489216	0.0289509717569611	0.0234466040738461	"PCNA/MSH2/MSH6/MLH1/ATR"	5	"Mismatch repair complex binding"
