"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"S6"	"S6"	"GOCC_COPI_COATED_VESICLE_MEMBRANE"	"GOCC_COPI_COATED_VESICLE_MEMBRANE"	"6/925"	"18/17939"	0.000200989860245344	0.00571497858847081	0.00456490549791167	"COPG1/KDELR2/ARCN1/COPA/COPB2/DIPK2A"	6
"S6"	"S6"	"GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS"	"GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS"	"45/925"	"500/17939"	0.000205045703439486	0.00580962826411878	0.00464050802520942	"DPP4/ANGPT1/HLA-F/TWSG1/EMILIN1/CNN2/THY1/COL3A1/PRDX2/TGFB1/SOCS1/IL33/ZC3H12A/SFRP1/TNFRSF21/BST2/PIM1/KITLG/IRAK3/SLIT2/TCTA/PTPRS/GREM1/BCL6/CCL2/RIOK3/IL13RA2/RUNX1/TNFAIP3/LDLR/PLCG1/PAWR/INHBA/YTHDF3/GBP1/STAT2/HLX/PIK3R1/FSTL3/SAMHD1/MDK/HMOX1/THBS1/LGR4/CXCL12"	45
"S6"	"S6"	"GOBP_CELL_MATRIX_ADHESION"	"GOBP_CELL_MATRIX_ADHESION"	"26/925"	"235/17939"	0.000206971876661573	0.00584348160609884	0.00466754877515016	"EMILIN1/THY1/COL3A1/ITGB1/COL16A1/TLN1/SFRP1/MACF1/VCL/ADAMTS12/NID1/CTTN/GREM1/BCL6/FBLN5/SRF/ACTN1/PIP5K1A/SMAD3/ITGA4/PIK3R1/NF2/BCAM/THBS1/LDB1/SERPINE1"	26
"S6"	"S6"	"GOBP_GLYCOPROTEIN_METABOLIC_PROCESS"	"GOBP_GLYCOPROTEIN_METABOLIC_PROCESS"	"36/925"	"371/17939"	0.000208479326156389	0.00586531625348434	0.00468498945324755	"HIF1A/DSE/SLC39A8/IL33/TMEM165/B4GALT1/ST3GAL1/ADAMTS12/GALNT10/FUT8/SULF2/NAGLU/HS6ST1/HS3ST3A1/MLEC/MAN1A1/GNPTAB/ITM2C/CHPF2/UST/SLC2A10/TET1/POFUT2/XYLT2/PAWR/B4GALT4/CANT1/TNIP1/B4GALT5/FUT11/NDST2/DPY19L1/SULF1/GALNT1/EOGT/GALNT12"	36
"S6"	"S6"	"GOMF_NUCLEAR_GLUCOCORTICOID_RECEPTOR_BINDING"	"GOMF_NUCLEAR_GLUCOCORTICOID_RECEPTOR_BINDING"	"5/925"	"12/17939"	0.000210702686469128	0.00589821047638018	0.00471126409568448	"NCOR2/NRIP1/TACC1/SMAD3/STAT5B"	5
"S6"	"S6"	"GOBP_TELENCEPHALON_DEVELOPMENT"	"GOBP_TELENCEPHALON_DEVELOPMENT"	"29/925"	"275/17939"	0.000211124930693959	0.00589821047638018	0.00471126409568448	"SLIT3/HIF1A/COL3A1/ALDH1A3/HDAC1/FLNA/SLIT2/LPAR1/PEX5/IGF2BP1/PTPRS/SRF/TACC1/CCDC85C/UBA6/ZMIZ1/EGFR/INHBA/SUN2/EMX2/CDH2/RPGRIP1L/FXR2/TSKU/NF2/ZSWIM6/MDK/TUBB2A/CXCL12"	29
"S6"	"S6"	"GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION"	"GOBP_SMAD_PROTEIN_SIGNAL_TRANSDUCTION"	"13/925"	"80/17939"	0.000212477338750365	0.0059153098836774	0.00472492244578566	"TWSG1/EMILIN1/TGFB1/PML/BMPER/GREM1/TGFBR1/ZMIZ1/PMEPA1/SMAD3/JAK2/INHBA/DKK1"	13
"S6"	"S6"	"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY"	"GOBP_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY"	"18/925"	"136/17939"	0.000218694555036116	0.00606725519006448	0.00484629052333323	"ITGB1/TGFB1/ACTB/EIF4G1/GNAI1/LRRC15/NUMA1/CNST/ACSL3/EGFR/PRKCI/EPB41L2/GBP1/IQSEC2/ATP2C1/PIK3R1/PID1/STAC"	18
"S6"	"S6"	"GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT"	"GOBP_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT"	"16/925"	"113/17939"	0.000220719134770005	0.00609421408272928	0.00486782425183949	"IFI27/ANGPT1/TGFB1/ZC3H12A/GAS6/FLNA/MDFIC/PTPN11/SUPT6H/NUP214/SMAD3/JAK2/UBR5/RANGAP1/PIK3R1/EP300"	16
"S6"	"S6"	"GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY"	"GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY"	"19/925"	"148/17939"	0.00022119175018667	0.00609421408272928	0.00486782425183949	"TWSG1/EMILIN1/PEG10/HDAC1/HSPA1A/SFRP1/BMPER/GREM1/SPART/SNX25/SLC2A10/SPRED2/TET1/DKK3/PMEPA1/CD109/SIN3A/FSTL3/DKK1"	19
