"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"short_desc"
"5"	"5"	"GOBP_REGULATION_OF_CENTRIOLE_REPLICATION"	"GOBP_REGULATION_OF_CENTRIOLE_REPLICATION"	"11/2069"	"23/17939"	1.68135406737741e-05	0.000220297099851654	0.000182503214806254	"BRCA1/STIL/CENPJ/PLK4/SASS6/NUP62/RBM14/CEP295/TRIM37/CDK5RAP2/ALMS1"	11	"Regulation of centriole replication"
"5"	"5"	"KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION"	"KEGG_MEDICUS_REFERENCE_KINETOCHORE_FIBER_ORGANIZATION"	"11/2069"	"23/17939"	1.68135406737741e-05	0.000220297099851654	0.000182503214806254	"TACC3/AURKA/TUBB4B/TUBA1B/TUBB/TUBA1C/TUBB6/TUBB3/TUBB2A/CLTB/CKAP5"	11	"Kinetochore fiber organization"
"5"	"5"	"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION"	"KEGG_MEDICUS_REFERENCE_MICROTUBULE_DEPOLYMERIZATION"	"11/2069"	"23/17939"	1.68135406737741e-05	0.000220297099851654	0.000182503214806254	"AURKA/AURKB/KIF2C/TUBB4B/TUBA1B/TUBB/TUBA1C/TUBB6/TUBB3/TUBB2A/MAPRE1"	11	"Microtubule depolymerization"
"5"	"5"	"GOBP_PYRIMIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS"	"GOBP_PYRIMIDINE_NUCLEOTIDE_BIOSYNTHETIC_PROCESS"	"13/2069"	"31/17939"	1.69784335967406e-05	0.000222107810573714	0.000184003282342697	"TYMS/DTYMK/DUT/NME1/DCK/SHMT1/CTPS1/UCK2/UMPS/PRPS1/AK5/CAD/CDA"	13	"Pyrimidinenucleotidebiosyntheticprocess."
"5"	"5"	"GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION"	"GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION"	"28/2069"	"106/17939"	1.81188359039106e-05	0.000236654183234751	0.00019605409815551	"HSP90AA1/HSPD1/TOMM5/TOMM40/SAE1/TIMM8A/TOMM34/TIMM17A/TOMM6/TIMM21/MTCH2/UBE2L3/TIMM50/TIMM23/PAM16/GRPEL1/HSPA4/PMPCA/TIMM10/AGK/MIPEP/AIFM1/PITRM1/TIMM22/CHCHD4/MFN2/IMMP1L/DNLZ"	28	"Protein targeting to mitochondrion"
"5"	"5"	"GOBP_CENTRIOLE_ASSEMBLY"	"GOBP_CENTRIOLE_ASSEMBLY"	"17/2069"	"49/17939"	1.82040153568518e-05	0.000237022547369338	0.0001963592662164	"BRCA1/CDK2/STIL/CENPJ/PLK4/SASS6/NUP62/CEP152/RBM14/CEP295/CCP110/CEP192/CEP135/E2F4/TRIM37/CDK5RAP2/ALMS1"	17	"Centriole assembly"
"5"	"5"	"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES"	"REACTOME_TP53_REGULATES_TRANSCRIPTION_OF_CELL_CYCLE_GENES"	"17/2069"	"49/17939"	1.82040153568518e-05	0.000237022547369338	0.0001963592662164	"E2F1/CDK1/RBL1/PCNA/CDK2/CCNA2/CCNB1/CCNE2/E2F7/CENPJ/AURKA/TFDP1/CCNE1/CNOT9/E2F4/PCBP4/CNOT10"	17	"Tp53regulatestranscriptionofcellcyclgenes."
"5"	"5"	"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS"	"GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS"	"31/2069"	"123/17939"	1.83760091505818e-05	0.000238888118957563	0.000197904782759884	"LSM4/HNRNPAB/HNRNPD/EXOSC9/YBX1/EXOSC8/EXOSC2/ERI1/GSPT1/MRTO4/SYNCRIP/MAGOHB/CNOT9/RNPS1/RBM8A/HNRNPU/EXOSC3/DHX9/DCPS/MLH1/NCBP1/EXOSC10/EIF4A3/MAGOH/EDC4/EXOSC4/SMG9/PDE12/CNOT10/EXOSC6/UPF3B"	31	"Nucleartranscribedmrnacatabolicprocess."
"5"	"5"	"GOBP_DNA_LIGATION"	"GOBP_DNA_LIGATION"	"9/2069"	"16/17939"	1.90012832354566e-05	0.000245101824060463	0.000203052472665475	"RAD51/LIG1/TOP2A/HMGB1/XRCC6/XRCC1/PNKP/XRCC4/LIG3"	9	"Dna ligation"
"5"	"5"	"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA"	"GOBP_ENDONUCLEOLYTIC_CLEAVAGE_OF_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA"	"9/2069"	"16/17939"	1.90012832354566e-05	0.000245101824060463	0.000203052472665475	"UTP20/BOP1/TSR1/RRS1/NOP14/TBL3/NOL9/BMS1/RPP40"	9	"Endncllytcclvgoftrcstrncrrntrnscrpsr58rlr."
"5"	"5"	"GOBP_RNA_CAPPING"	"GOBP_RNA_CAPPING"	"9/2069"	"16/17939"	1.90012832354566e-05	0.000245101824060463	0.000203052472665475	"SNRPB/SNRPG/SNRPD1/SNRPE/SNRPF/SNRPD3/RNGTT/NCBP1/TGS1"	9	"RNA capping"
"5"	"5"	"GOBP_TRNA_DECAY"	"GOBP_TRNA_DECAY"	"9/2069"	"16/17939"	1.90012832354566e-05	0.000245101824060463	0.000203052472665475	"EXOSC9/EXOSC8/EXOSC2/POP1/EXOSC3/ELAC2/EXOSC10/NSUN2/METTL1"	9	"Trna decay"
"5"	"5"	"GOMF_ATP_DEPENDENT_DNA_DAMAGE_SENSOR_ACTIVITY"	"GOMF_ATP_DEPENDENT_DNA_DAMAGE_SENSOR_ACTIVITY"	"9/2069"	"16/17939"	1.90012832354566e-05	0.000245101824060463	0.000203052472665475	"RAD51/MSH2/XRCC2/XRCC3/MSH6/RAD51C/MLH1/RAD51D/PMS1"	9	"ATP dependent dna damage sensor activity"
"5"	"5"	"REACTOME_CELLULAR_SENESCENCE"	"REACTOME_CELLULAR_SENESCENCE"	"32/2069"	"129/17939"	1.91983570835382e-05	0.000247260574202845	0.000204840870430191	"LMNB1/UBE2C/E2F1/EZH2/CDK2/CCNA2/CCNE2/TFDP1/CCNE1/ACD/UBE2S/HMGA1/HMGA2/RBBP7/TXN/MRE11/SUZ12/RBBP4/ANAPC15/EED/MAP2K3/MAPKAPK3/RB1/CDK6/ANAPC7/TERF2/CDC23/ETS2/ID1/E2F3/ANAPC1/CDKN2D"	32	"Cell senescence"
"5"	"5"	"GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT"	"GOBP_MITOTIC_G2_M_TRANSITION_CHECKPOINT"	"18/2069"	"54/17939"	1.95016678431961e-05	0.000250778788957329	0.000207755504819406	"CLSPN/CDC6/DTL/BRCA1/CDK1/DONSON/BARD1/ORC1/PLK1/TOPBP1/CHEK1/RBBP8/MRE11/NAE1/BRCC3/ATR/NABP2/INIP"	18	"Mitotic g2 m transition checkpoint"
"5"	"5"	"REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS"	"REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS"	"20/2069"	"64/17939"	2.0270210640358e-05	0.000260259494641634	0.000215609712919208	"PSMD2/PSMC3/PSMA7/PSME2/PSMB3/SMURF2/PSMD14/PSMD1/PSMA2/PSMD11/PSMA3/PSMC5/PSME3/PSMB2/PSMD13/PSMD12/PSMB7/PSMD6/PSMC4/SCRIB"	20	"Asymmetric localization of pcp proteins"
