"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"abbrev_ID"
"11"	"11"	"GOBP_GMP_METABOLIC_PROCESS"	"GOBP_GMP_METABOLIC_PROCESS"	"15/3793"	"28/17939"	0.000161105945355384	0.00141849585441343	0.00104724892391153	"GUK1/HPRT1/PAICS/PRTFDC1/ADK/PFAS/ATIC/ADSL/GMPS/IMPDH1/NT5C2/MAGI3/GART/DLG1/TJP2"	15	"gobp gmp metabolic process"
"11"	"11"	"GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX"	"GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX"	"15/3793"	"28/17939"	0.000161105945355384	0.00141849585441343	0.00104724892391153	"SNRPD3/SNRPB/SNRPG/YBX1/SNRPF/SF3B2/SF3B4/SNRPE/SNRPD1/LSM7/SF3B3/DHX15/SNRNP25/PHF5A/ZRSR2"	15	"gocc u12 type spliceosomal complex"
"11"	"11"	"WP_4P163_COPY_NUMBER_VARIATION"	"WP_4P163_COPY_NUMBER_VARIATION"	"15/3793"	"28/17939"	0.000161105945355384	0.00141849585441343	0.00104724892391153	"TACC3/NSD2/FGF2/MAPK3/CKAP5/SLBP/ERI1/GRB2/NELFB/NELFCD/MAPK1/NELFE/CBL/NELFA/FRS2"	15	"wp 4p163 copy number variation"
"11"	"11"	"WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING"	"WP_NANOPARTICLEMEDIATED_ACTIVATION_OF_RECEPTOR_SIGNALING"	"15/3793"	"28/17939"	0.000161105945355384	0.00141849585441343	0.00104724892391153	"TLN1/ITGB1/NRAS/PXN/HRAS/KRAS/EGFR/GRB2/FN1/MAPK1/AKT3/PTK2/RAF1/MAPK8/MAPK9"	15	"wpnanoparticlemediatdactvtnofrcptrsgnlng."
"11"	"11"	"GOBP_CENTRIOLE_ASSEMBLY"	"GOBP_CENTRIOLE_ASSEMBLY"	"22/3793"	"49/17939"	0.000163440151752709	0.00143768519851413	0.00106141605728559	"BRCA1/STIL/PLK4/CDK2/SASS6/CEP152/CDK5RAP2/NUP62/CEP135/CENPJ/PLK2/RBM14/E2F4/ALMS1/PPP1R35/CCP110/CEP192/CCDC61/TRIM37/CEP295/C2CD3/CEP120"	22	"gobp centriole assembly"
"11"	"11"	"GOBP_LAMELLIPODIUM_ORGANIZATION"	"GOBP_LAMELLIPODIUM_ORGANIZATION"	"34/3793"	"89/17939"	0.000172937019634195	0.00151834780281856	0.00112096774740501	"FSCN1/RAC2/CORO1C/ACTR3/CAPZB/SLIT2/RAC1/ARPC2/CD44/CDC42/VCL/ACTR2/ITGB1/HSP90AA1/CTTN/CCDC88A/ABI2/MYO9B/SRGAP2/NUP85/ARPIN/PLEKHO1/AJUBA/TWF1/ENPP2/CYFIP1/NCKAP1/MTSS2/AUTS2/FER/MTOR/CDH13/KANK1/BIN3"	34	"gobp lamellipodium organization"
"11"	"11"	"GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE"	"GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE"	"34/3793"	"89/17939"	0.000172937019634195	0.00151834780281856	0.00112096774740501	"TUBA1A/MAP1B/SYNE2/CDC42/NDE1/HIF1A/UBB/AP3D1/KXD1/COPG1/ARHGAP21/TRAK1/PAFAH1B1/DTNBP1/KIF13A/BORCS8/BLOC1S1/BICD1/KIF5B/COPG2/SUN1/KIF1C/MAP1S/AP3M2/FYCO1/FBXW11/RHOT2/KIFAP3/OPA1/TRAK2/PEX14/SUN2/CDR2L/HTT"	34	"gobporganelletransportalongmicrotubule."
"11"	"11"	"WP_HEPATITIS_B_INFECTION"	"WP_HEPATITIS_B_INFECTION"	"51/3793"	"150/17939"	0.000173156774994774	0.00151884162693717	0.00112133232850351	"BIRC5/YWHAZ/YWHAQ/CREB3L1/YWHAB/MAP2K3/SMAD3/NRAS/MAPK3/PCNA/IL6/DDB1/HRAS/PRKCA/KRAS/STAT1/VDAC3/GRB2/APAF1/IRAK1/MAPK1/AKT3/TICAM2/IKBKE/NFATC1/TGFB1/ELK1/AKT1/FAS/RAF1/IKBKG/FADD/CREB3/BAD/IKBKB/ATF6B/NFKB1/CREBBP/MYD88/RELA/IRF3/MAPK8/TGFBR1/TICAM1/MAPK9/TYK2/TAB2/CASP8/MAP2K7/EP300/CHUK"	51	"wp hepatitis b infection"
"11"	"11"	"GOBP_MITOTIC_CYTOKINETIC_PROCESS"	"GOBP_MITOTIC_CYTOKINETIC_PROCESS"	"16/3793"	"31/17939"	0.000173815001870607	0.00152011309666948	0.00112227103079496	"CEP55/KIF20A/IQGAP3/KIF20B/ECT2/RHOA/IQGAP1/ARF1/CHMP6/NUP62/VPS4A/CHMP1A/CHMP4B/CHMP3/ARF6/EXOC7"	16	"gobp mitotic cytokinetic process"
"11"	"11"	"REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS"	"REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS"	"16/3793"	"31/17939"	0.000173815001870607	0.00152011309666948	0.00112227103079496	"IQGAP3/TUBA1B/TUBA1C/TUBB4B/TUBB6/ACTB/ACTG1/TUBA1A/IQGAP1/TUBB3/RAC1/CDC42/CTNNA1/TUBB2A/CLIP1/CTNNB1"	16	"reactome rho gtpases activate iqgaps"
