"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@MDH2"	0	0.571468886090949	0.995	0.972	0	"4"	"MDH2"	"P"
"P:r1@AKR1C3"	0	0.574189347416672	0.993	0.898	0	"2"	"AKR1C3"	"P"
"P:r1@GBE1"	0	0.57457646082654	0.968	0.88	0	"2"	"GBE1"	"P"
"P:r1@TRAM1"	0	0.575736249247519	0.964	0.892	0	"1"	"TRAM1"	"P"
"P:r1@EIF3K"	0	0.576723862006824	0.999	0.992	0	"4"	"EIF3K"	"P"
"P:r1@NDUFB3"	0	0.579638224779662	0.979	0.916	0	"4"	"NDUFB3"	"P"
"P:r1@UBB"	0	0.580483981629587	0.998	0.982	0	"4"	"UBB"	"P"
"P:r1@PRMT1"	0	0.582405120131552	0.967	0.883	0	"1"	"PRMT1"	"P"
"P:r1@DCTN2"	0	0.583566434701451	0.948	0.833	0	"1"	"DCTN2"	"P"
"P:r1@IMPDH2"	0	0.58357794355248	0.999	0.983	0	"3"	"IMPDH2"	"P"
"P:r1@HSPA1B"	0	0.585044892196064	0.873	0.745	0	"2"	"HSPA1B"	"P"
"P:r1@GLRX5"	0	0.58786780507542	0.946	0.882	0	"2"	"GLRX5"	"P"
"P:r1@SEC61A1"	0	0.588128435094172	0.92	0.783	0	"1"	"SEC61A1"	"P"
"P:r1@S100A6"	0	0.588691037724093	1	1	0	"1"	"S100A6"	"P"
"P:r1@HNRNPK"	0	0.588726766159365	0.986	0.941	0	"1"	"HNRNPK"	"P"
"P:r1@CYB5R3"	0	0.589314518369302	0.996	0.987	0	"1"	"CYB5R3"	"P"
"P:r1@COL14A1"	0	0.5926719695808	0.742	0.363	0	"3"	"COL14A1"	"P"
"P:r1@ATP1B3"	0	0.592896465226738	0.973	0.788	0	"3"	"ATP1B3"	"P"
"P:r1@PABPC1"	0	0.593641218460322	1	0.997	0	"3"	"PABPC1"	"P"
"P:r1@LHFPL6"	0	0.594449167028514	0.89	0.693	0	"1"	"LHFPL6"	"P"
"P:r1@HSPB6"	0	0.594597838232846	1	0.998	0	"2"	"HSPB6"	"P"
"P:r1@CLTB"	0	0.5950408554232	0.887	0.758	0	"1"	"CLTB"	"P"
"P:r1@LGALS3"	0	0.595087442788196	0.999	0.997	0	"4"	"LGALS3"	"P"
"P:r1@RALA"	0	0.596469155118127	0.868	0.71	0	"1"	"RALA"	"P"
"P:r1@EMC3"	0	0.596499085319795	0.948	0.902	0	"0"	"EMC3"	"P"
"P:r1@SURF4"	0	0.596623184218055	0.934	0.807	0	"1"	"SURF4"	"P"
"P:r1@EIF2S2"	0	0.596746278537386	0.983	0.923	0	"1"	"EIF2S2"	"P"
"P:r1@CSDE1"	0	0.597218608694645	0.98	0.916	0	"1"	"CSDE1"	"P"
"P:r1@NFE2L2"	0	0.598030789606575	0.987	0.851	0	"3"	"NFE2L2"	"P"
"P:r1@UBE2D3"	0	0.598084609476925	0.977	0.903	0	"1"	"UBE2D3"	"P"
"P:r1@FAP"	0	0.598237505722815	0.867	0.383	0	"3"	"FAP"	"P"
"P:r1@CTSL"	0	0.599288482132114	0.979	0.965	0	"0"	"CTSL"	"P"
"P:r1@COX7C"	0	0.600113153811212	1	0.998	0	"4"	"COX7C"	"P"
"P:r1@EDF1"	0	0.600135678570191	0.998	0.99	0	"1"	"EDF1"	"P"
"P:r1@CAV1"	0	0.60094125836257	0.997	0.978	0	"4"	"CAV1"	"P"
"P:r1@SERPINF1"	0	0.601207800424771	1	0.991	0	"2"	"SERPINF1"	"P"
"P:r1@LGALS12"	0	0.60142662449727	0.489	0.193	0	"2"	"LGALS12"	"P"
"P:r1@AL450405.1"	0	0.604110149672232	0.984	0.892	0	"3"	"AL450405.1"	"P"
"D:r1@ADDG21008398844.F"	0	0.604122509346913	1	0.998	0	"3"	"ADDG21008398844.F"	"D"
"P:r1@RPL21P16"	0	0.605342518260268	0.997	0.981	0	"3"	"RPL21P16"	"P"
"P:r1@GSTM3"	0	0.605528588280778	0.923	0.894	0	"0"	"GSTM3"	"P"
"P:r1@CTSD,r1@AC068580.1,r1@AC068580.4"	0	0.605861695248329	0.99	0.949	0	"1"	"CTSD,r1@AC068580.1,r1@AC068580.4"	"P"
"P:r1@PIK3R1"	0	0.606722658413924	0.984	0.77	0	"3"	"PIK3R1"	"P"
"P:r1@COX6B1"	0	0.607825458773089	0.999	0.995	0	"4"	"COX6B1"	"P"
"P:r1@ARPC2"	0	0.607932053050777	0.991	0.968	0	"1"	"ARPC2"	"P"
"P:r1@CDC42"	0	0.609057175875963	0.963	0.899	0	"1"	"CDC42"	"P"
"P:r1@VPS28"	0	0.610205495738178	0.986	0.925	0	"1"	"VPS28"	"P"
"P:r1@AC004057.1"	0	0.61026838569133	0.967	0.785	0	"3"	"AC004057.1"	"P"
"P:r1@PPP1R14B"	0	0.610409135396357	0.983	0.955	0	"1"	"PPP1R14B"	"P"
"P:r1@CUEDC2"	0	0.611774828429136	0.909	0.765	0	"1"	"CUEDC2"	"P"
"P:r1@MMADHC"	0	0.613190466368117	0.956	0.841	0	"1"	"MMADHC"	"P"
"P:r1@COX6C"	0	0.613352266995074	0.999	0.993	0	"4"	"COX6C"	"P"
"P:r1@LINC02802"	0	0.613838885671836	0.974	0.904	0	"1"	"LINC02802"	"P"
"P:r1@TOMM5,r1@AL513165.2"	0	0.614577744083373	0.998	0.986	0	"4"	"TOMM5,r1@AL513165.2"	"P"
"P:r1@HSDL2"	0	0.614612469771485	0.883	0.736	0	"2"	"HSDL2"	"P"
