p_val	avg_log2FC	pct.1	pct.2	p_val_adj	tss_id	simple_id	feature_name	best_gene_name	gene_names	proximity	sig	condition	sig_cond
1.63758960742111e-52	-0.969941833436855	0.083	0.147	1.23010818540652e-47	P:r1@AL669831.3	P:r1@AL669831.3	P:r1@AL669831.3	AL669831.3	AL669831.3	P	sig	white	white
1.80343830645886e-48	-0.722897980863043	0.208	0.284	1.3546887526627e-43	D:r1@ADDG02027070577.F	D:r1@ADDG02027070577.F	D:r1@..577.F	..577.F	ADDG02027070577.F	D	sig	white	white
4.95242249581653e-59	0.714306333041304	0.225	0.14	3.7201112061825e-54	D:r2@ADDG17082088766.B	D:r2@ADDG17082088766.B	D:r2@..766.B	..766.B	ADDG17082088766.B	D	sig	beige	beige
1.92477255715696e-37	-0.667175296318531	0.257	0.323	1.44583140175959e-32	D:r1@ADDG19018575201.R	D:r1@ADDG19018575201.R	D:r1@..201.R	..201.R	ADDG19018575201.R	D	sig	white	white
3.20548047917894e-24	-0.663483928994106	0.15	0.197	2.40786077154484e-19	P:r1@ADDG17008377649.F	P:r1@ADDG17008377649.F	P:r1@..649.F	..649.F	ADDG17008377649.F	P	sig	white	white
4.22728903055854e-15	-0.653855260868356	0.09	0.121	3.17541270108466e-10	P:r1@HIST1H4F	P:r1@HIST1H4F	P:r1@HIST1H4F	HIST1H4F	HIST1H4F	P	sig	white	white
4.91466776145374e-23	-0.650700177646436	0.105	0.147	3.69175098237121e-18	P:r1@ADDG03179618488.R	P:r1@ADDG03179618488.R	P:r1@..488.R	..488.R	ADDG03179618488.R	P	sig	white	white
4.4684824480406e-25	-0.642060801015377	0.086	0.129	3.35658996049465e-20	P:r2@ADDG02038482405.B	P:r2@ADDG02038482405.B	P:r2@..405.B	..405.B	ADDG02038482405.B	P	sig	white	white
3.63410385690726e-167	0.634201812781576	0.886	0.777	2.72982979419303e-162	D:r1@ADDG21008259835.B	D:r1@ADDG21008259835.B	D:r1@..835.B	..835.B	ADDG21008259835.B	D	sig	beige	beige
2.03531304276988e-39	-0.626830952146028	0.247	0.316	1.52886609833745e-34	P:r1@ADDG19055388330.R	P:r1@ADDG19055388330.R	P:r1@..330.R	..330.R	ADDG19055388330.R	P	sig	white	white
3.08585636953867e-45	-0.624090771901768	0.395	0.462	2.31800272910637e-40	P:r1@ADDG01000634140.R	P:r1@ADDG01000634140.R	P:r1@..140.R	..140.R	ADDG01000634140.R	P	sig	white	white
1.52604291461801e-160	0.60001852047568	0.839	0.72	1.14631765617361e-155	D:r1@ADDG21008400458.B	D:r1@ADDG21008400458.B	D:r1@..458.B	..458.B	ADDG21008400458.B	D	sig	beige	beige
1.03185439183102e-31	0.598994009128285	0.143	0.091	7.75098063511706e-27	P:r1@PLXNB2	P:r1@PLXNB2	P:r1@PLXNB2	PLXNB2	PLXNB2	P	sig	beige	beige
2.27425121963428e-115	0.577556341263448	0.579	0.434	1.70834928865268e-110	D:r1@ADDG12057158519.R	D:r1@ADDG12057158519.R	D:r1@..519.R	..519.R	ADDG12057158519.R	D	sig	beige	beige
2.43147171828319e-24	0.566545517653124	0.137	0.093	1.82644861062279e-19	P:r1@NOTCH3	P:r1@NOTCH3	P:r1@NOTCH3	NOTCH3	NOTCH3	P	sig	beige	beige
3.20137738486962e-64	0.550290890926573	0.392	0.285	2.40477865019251e-59	P:r1@ADDG01021879018.F	P:r1@ADDG01021879018.F	P:r1@..018.F	..018.F	ADDG01021879018.F	P	sig	beige	beige
5.66894109526777e-158	0.547614443664166	0.977	0.936	4.25833848253229e-153	D:r1@ADDG21008442539.B	D:r1@ADDG21008442539.B	D:r1@..539.B	..539.B	ADDG21008442539.B	D	sig	beige	beige
2.3753836538631e-48	0.540891065220596	0.277	0.192	1.78431693927235e-43	D:r1@ADDG12057162502.B	D:r1@ADDG12057162502.B	D:r1@..502.B	..502.B	ADDG12057162502.B	D	sig	beige	beige
1.02226605455497e-66	0.533244330654042	0.471	0.362	7.67895592200056e-62	D:r1@ADDG17082088766.B	D:r1@ADDG17082088766.B	D:r1@..766.B	..766.B	ADDG17082088766.B	D	sig	beige	beige
1.29015005596911e-147	0.525819620697394	0.969	0.929	9.69122017542316e-143	D:r1@ADDG21008443541.B	D:r1@ADDG21008443541.B	D:r1@..541.B	..541.B	ADDG21008443541.B	D	sig	beige	beige
4.00822790796852e-10	-0.522847171422077	0.103	0.129	3.01086055762871e-05	P:r1@RMRP,r1@RMRP.2	P:r1@RMRP,r1@RMRP.2	P:r1@RMRP,r1@RMRP.2	RMRP	RMRP,RMRP.2	P	sig	white	white
7.75907576684218e-39	-0.514888564114037	0.645	0.678	5.82838494377884e-34	D:r1@ADDG18049488559.F	D:r1@ADDG18049488559.F	D:r1@..559.F	..559.F	ADDG18049488559.F	D	sig	white	white
1.23764261440324e-51	-0.512219921041705	0.475	0.548	9.29680002661278e-47	P:r1@ADDG0M000005585.R	P:r1@ADDG0M000005585.R	P:r1@..585.R	..585.R	ADDG0M000005585.R	P	sig	white	white
4.34370146467966e-21	0.507875841802745	0.124	0.085	3.26285822922342e-16	P:r1@NFKB2	P:r1@NFKB2	P:r1@NFKB2	NFKB2	NFKB2	P	sig	beige	beige
8.68990626810229e-29	0.494030779099344	0.165	0.112	6.5275968914104e-24	P:r1@SBF1	P:r1@SBF1	P:r1@SBF1	SBF1	SBF1	P	sig	beige	beige
1.02345769304e-125	0.485531591532474	0.931	0.89	7.6879071528086e-121	P:r1@FASN	P:r1@FASN	P:r1@FASN	FASN	FASN	P	sig	beige	beige
1.07386007609354e-12	-0.479755710554989	0.095	0.124	8.06651473359186e-08	P:r2@ADDG0X103686527.B	P:r2@ADDG0X103686527.B	P:r2@..527.B	..527.B	ADDG0X103686527.B	P	sig	white	white
1.04103738605766e-150	0.475899169326854	0.999	0.996	7.8199605328493e-146	D:r1@ADDG21008398844.F	D:r1@ADDG21008398844.F	D:r1@..844.F	..844.F	ADDG21008398844.F	D	sig	beige	beige
1.77102708874316e-10	-0.475805436069121	0.174	0.203	1.3303424182512e-05	P:r1@ADDG0M000012319.R	P:r1@ADDG0M000012319.R	P:r1@..319.R	..319.R	ADDG0M000012319.R	P	sig	white	white
1.5534480264228e-185	0.469738840822978	1	1	1.16690355400802e-180	D:r1@ADDG21008217400.B	D:r1@ADDG21008217400.B	D:r1@..400.B	..400.B	ADDG21008217400.B	D	sig	beige	beige
1.98090583957586e-18	0.464353654893062	0.123	0.086	1.4879970395142e-13	P:r1@PIEZO1	P:r1@PIEZO1	P:r1@PIEZO1	PIEZO1	PIEZO1	P	sig	beige	beige
1.34332043203332e-18	0.453939179771403	0.137	0.097	1.00906200893047e-13	D:r1@ADDG14022846215.B	D:r1@ADDG14022846215.B	D:r1@..215.B	..215.B	ADDG14022846215.B	D	sig	beige	beige
2.25901853952417e-61	0.449034001069923	0.497	0.387	1.69690695633437e-56	P:r1@PLXND1	P:r1@PLXND1	P:r1@PLXND1	PLXND1	PLXND1	P	sig	beige	beige
5.6860669162995e-22	0.44438268406194	0.166	0.12	4.2712028855167e-17	P:r1@INTS1	P:r1@INTS1	P:r1@INTS1	INTS1	INTS1	P	sig	beige	beige
6.18962839902962e-53	0.443795804366442	0.691	0.631	4.64946316449908e-48	P:r1@PLIN4	P:r1@PLIN4	P:r1@PLIN4	PLIN4	PLIN4	P	sig	beige	beige
9.15831232741402e-196	0.443264686789994	0.999	0.998	6.87944947098359e-191	D:r1@ADDG21008209995.F	D:r1@ADDG21008209995.F	D:r1@..995.F	..995.F	ADDG21008209995.F	D	sig	beige	beige
1.41441314264103e-141	0.435958493339886	0.863	0.781	1.06246472035766e-136	P:r1@LRP1	P:r1@LRP1	P:r1@LRP1	LRP1	LRP1	P	sig	beige	beige
6.17996952918867e-22	0.433643683415347	0.189	0.14	4.64220771124065e-17	P:r1@LRP5	P:r1@LRP5	P:r1@LRP5	LRP5	LRP5	P	sig	beige	beige
9.44919060521009e-18	0.433201342988909	0.13	0.093	7.09794850691567e-13	P:r1@NACC1	P:r1@NACC1	P:r1@NACC1	NACC1	NACC1	P	sig	beige	beige
3.85932333172904e-150	0.430607229088219	0.971	0.923	2.8990079070949e-145	D:r1@ADDG21008260936.B	D:r1@ADDG21008260936.B	D:r1@..936.B	..936.B	ADDG21008260936.B	D	sig	beige	beige
5.3382391157044e-19	0.43058088037122	0.151	0.11	4.00992507654367e-14	P:r1@ADCY3	P:r1@ADCY3	P:r1@ADCY3	ADCY3	ADCY3	P	sig	beige	beige
1.60059935915647e-11	0.425452065081547	0.127	0.098	1.20232222061757e-06	P:r1@SEMA3G	P:r1@SEMA3G	P:r1@SEMA3G	SEMA3G	SEMA3G	P	sig	beige	beige
1.29151627059376e-44	0.425090346562894	0.44	0.346	9.70148276981911e-40	D:r1@ADDG01054854226.B	D:r1@ADDG01054854226.B	D:r1@..226.B	..226.B	ADDG01054854226.B	D	sig	beige	beige
7.20739584769241e-20	0.42498019907072	0.128	0.088	5.41397953891111e-15	P:r1@INPPL1	P:r1@INPPL1	P:r1@INPPL1	INPPL1	INPPL1	P	sig	beige	beige
2.42117165819183e-25	0.423175595806368	0.289	0.225	1.81871151448395e-20	P:r1@ITGA5	P:r1@ITGA5	P:r1@ITGA5	ITGA5	ITGA5	P	sig	beige	beige
6.66206787861749e-10	0.416106557363695	0.211	0.18	5.0043455283811e-05	P:r1@KCNK3	P:r1@KCNK3	P:r1@KCNK3	KCNK3	KCNK3	P	sig	beige	beige
1.17433840558572e-20	0.412125858058269	0.163	0.119	8.82127780123822e-16	P:r1@OSBPL5	P:r1@OSBPL5	P:r1@OSBPL5	OSBPL5	OSBPL5	P	sig	beige	beige
4.98543244449361e-89	0.409333291612168	0.797	0.722	3.74490728933027e-84	P:r1@HSPG2	P:r1@HSPG2	P:r1@HSPG2	HSPG2	HSPG2	P	sig	beige	beige
7.56471203426641e-16	0.40532154097055	0.134	0.098	5.6823847387799e-11	P:r1@PLXNA4	P:r1@PLXNA4	P:r1@PLXNA4	PLXNA4	PLXNA4	P	sig	beige	beige
