Cluster	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
s4	Gluconeogenesis	Gluconeogenesis	8	0.813917382866648	1.79918958537699	0.00181822286351447	0.0213641186462951	0.015550590280058	3364	tags=100%, list=19%, signal=81%	SLC25A1/PC/SLC25A10/PCK2/SLC25A11/MDH2/MPC1/MPC2
s4	Choline and betaine metabolism	Choline and betaine metabolism	7	0.831140694560012	1.75556900229269	0.00240819899982437	0.0251523006648323	0.0183079456126999	2766	tags=86%, list=15%, signal=73%	SARDH/CHDH/ETFB/ETFA/ETFDH/DMGDH
s6	Choline and betaine metabolism	Choline and betaine metabolism	7	0.825180523913315	1.75671820302694	0.00332901871335499	0.0260773132546141	0.0183972086790671	1095	tags=71%, list=6%, signal=67%	CHDH/ETFA/ETFDH/ETFB/SARDH
s1	TCA-associated	TCA-associated	14	0.781198919685632	1.82965475384057	0.00331025690926146	0.026726722901526	0.0188553588219053	2813	tags=71%, list=16%, signal=60%	L2HGDH/SLC25A1/ACLY/ME3/MPC2/PC/ME2/FAHD1/SLC25A11/MPC1
s1	Pyruvate metabolism	Pyruvate metabolism	14	0.778075613881519	1.82233962427729	0.00350689958973716	0.026726722901526	0.0188553588219053	1409	tags=64%, list=8%, signal=59%	PDK4/PDK1/PDP2/DLAT/PDHX/PDHA1/MPC2/DLD/PDHB
s1	mt-tRNA synthetases	mt-tRNA synthetases	20	0.715152567719309	1.78304433659617	0.00425657062276079	0.026726722901526	0.0188553588219053	3348	tags=65%, list=19%, signal=53%	YARS2/DARS2/MARS2/GATB/LARS2/IARS2/TARS2/EARS2/QRSL1/FARS2/NARS2/SARS2/PARS2
s1	mtRNA granules	mtRNA granules	27	0.671854177449955	1.77743571485923	0.00221989867349582	0.026726722901526	0.0188553588219053	4336	tags=67%, list=24%, signal=51%	DDX28/RMND1/TRMT10C/FASTKD5/MRPS9/MRPS7/HSD17B10/TRUB2/RPUSD4/PTCD2/MRPL47/FASTKD2/FASTKD1/SUPV3L1/MTPAP/ERAL1/PTCD1/ALKBH1
s1	CIV subunits	CIV subunits	16	0.737800129560408	1.76271288696583	0.00323127616759778	0.026726722901526	0.0188553588219053	3968	tags=88%, list=22%, signal=68%	COX5A/MT-CO2/NDUFA4/MT-CO3/COX7B/COX6A1/COX5B/COX7A2/COX6B1/MT-CO1/COX8A/COX6C/COX4I1/COX7C
s1	Xenobiotic metabolism	Xenobiotic metabolism	19	0.714023897852895	1.75685957570775	0.00421720356766037	0.026726722901526	0.0188553588219053	3204	tags=68%, list=18%, signal=56%	TST/BPHL/ALDH1B1/MAOB/MGST1/CYB5B/GLYAT/ABHD10/MPST/MAOA/GSTZ1/ACSM5/GSTK1
s1	CI assembly factors	CI assembly factors	22	0.680314781877101	1.74353930668591	0.00370353505224551	0.026726722901526	0.0188553588219053	5307	tags=86%, list=29%, signal=61%	AIFM1/DMAC1/NDUFAF1/NDUFAF2/NDUFAF4/NDUFAF5/ACAD9/NUBPL/ECSIT/FOXRED1/LYRM2/NDUFAF3/TMEM186/NDUFAF7/TMEM126A/TIMMDC1/COA1/NDUFAF6/TMEM70
s1	CI subunits	CI subunits	44	0.580269339658446	1.67598174360868	0.00284676045231211	0.026726722901526	0.0188553588219053	5090	tags=80%, list=28%, signal=57%	NDUFS1/MT-ND2/NDUFS2/NDUFB9/NDUFV1/MT-ND3/MT-ND1/MT-ND5/NDUFA3/MT-ND4/NDUFA10/NDUFB5/MT-ND4L/NDUFA6/NDUFAB1/NDUFS5/NDUFS3/MT-ND6/NDUFV3/NDUFS7/NDUFA9/NDUFC2/NDUFA12/NDUFA8/NDUFA5/NDUFS6/NDUFB3/NDUFB8/NDUFA2/NDUFB6/NDUFB11/NDUFA1/NDUFB2/NDUFB7/NDUFS8
s1	Biotin utilizing proteins	Biotin utilizing proteins	5	0.901762944894112	1.66241418238358	0.00426490259066905	0.026726722901526	0.0188553588219053	1777	tags=100%, list=10%, signal=90%	ACACB/MCCC1/PC/PCCA/ACACA
s1	ROS and glutathione metabolism	ROS and glutathione metabolism	27	0.642314113618232	1.69928547595916	0.00481165584935298	0.0282684781149488	0.0199430472703446	2287	tags=48%, list=13%, signal=42%	PRXL2A/CAT/ALDH9A1/AIFM2/PRDX2/GLRX2/MGST1/MSRA/ALDH3A2/TXNRD2/HAGH/PRDX6/GPX4
s5	CI assembly factors	CI assembly factors	22	0.645677065165212	1.77752387864831	0.00523079098485386	0.0289231972103684	0.0184616152406607	5288	tags=77%, list=29%, signal=55%	ECSIT/NDUFAF3/AIFM1/FOXRED1/TMEM186/DMAC1/NDUFAF2/NDUFAF1/DMAC2/ACAD9/TIMMDC1/TMEM126A/NDUFAF4/TMEM70/NDUFAF5/COA1/NUBPL
s5	CIII subunits	CIII subunits	10	0.761008140840278	1.73288744618576	0.00580401061340878	0.0303098332033569	0.0193467020446959	2282	tags=70%, list=13%, signal=61%	UQCRQ/UQCR10/CYC1/UQCRC1/UQCRH/UQCRFS1/UQCRC2
s5	Fe-S cluster biosynthesis	Fe-S cluster biosynthesis	22	0.636882501503645	1.75331278651865	0.00657785301447668	0.0325430622821478	0.0207721674141369	4568	tags=68%, list=25%, signal=51%	NDUFAB1/BOLA1/FDXR/NFU1/GRPEL1/GLRX5/BOLA3/NFS1/CISD3/ISCA1/IBA57/ISCA2/FXN/LYRM4/HSCB
s5	Type II fatty acid synthesis	Type II fatty acid synthesis	9	0.774740282263397	1.72460628850679	0.00743116351901225	0.0349264685393576	0.0222934905570367	2424	tags=67%, list=13%, signal=58%	HSD17B8/MECR/NDUFAB1/ACSF3/MCAT/OXSM
s2	Translation factors	Translation factors	16	0.640052144170683	1.73946596972736	0.0076515181094253	0.0359621351142989	0.019330151013285	4295	tags=81%, list=24%, signal=62%	GFM1/MTIF2/MRRF/TIMM21/GFM2/TSFM/TACO1/MRPL58/MTIF3/MTRF1L/COA3/TUFM/COX14
s3	mtRNA granules	mtRNA granules	27	0.641150982741546	1.75377805831589	0.00317201715132412	0.0372712015280584	0.0279638354129889	5985	tags=78%, list=33%, signal=52%	DDX28/FASTKD5/RMND1/TRMT10C/HSD17B10/MRPS7/PTCD2/FASTKD1/RPUSD4/TRUB2/MRPS9/MTPAP/FASTKD2/SUPV3L1/NOA1/ALKBH1/ERAL1/PRORP/PTCD1/MRPL47/MRM1
s3	Choline and betaine metabolism	Choline and betaine metabolism	7	0.856256453397785	1.73472047174276	0.00287402078775725	0.0372712015280584	0.0279638354129889	1602	tags=71%, list=9%, signal=65%	ETFDH/ETFA/CHDH/DMGDH/ETFB
s5	Chaperones	Chaperones	15	0.683992672840811	1.72236458688126	0.00877452176162606	0.0374911384360386	0.0239305138953438	4495	tags=73%, list=25%, signal=55%	TIMM13/TRAP1/PHB/TIMM8B/DNAJA3/PHB2/TIMM10/HSPE1/MAIP1/TIMM8A/HSPD1
s5	Mitochondrial permeability transition pore	Mitochondrial permeability transition pore	6	0.837561683654862	1.66610259301597	0.0086995035847622	0.0374911384360386	0.0239305138953438	1777	tags=67%, list=10%, signal=60%	SLC25A6/SLC25A4/SLC25A5/PPIF
s2	Q-linked reactions, other	Q-linked reactions, other	9	0.753087756946194	1.73899640910405	0.00877230281913816	0.0392664983332851	0.0211062924971745	3514	tags=78%, list=19%, signal=63%	CHDH/ETFA/ETFDH/ETFRF1/DHODH/GPD2/ETFBKMT
s1	CIII subunits	CIII subunits	10	0.787069389931788	1.68511970476958	0.00748645754353107	0.0413957064171718	0.0292041377859107	3692	tags=90%, list=20%, signal=72%	UQCRFS1/UQCRC2/UQCRC1/CYC1/UQCRH/UQCR10/MT-CYB/UQCRQ/UQCRB
s1	Q-linked reactions, other	Q-linked reactions, other	9	0.801863878063551	1.68020432810235	0.00832607781182326	0.0434806285728548	0.0306750235172436	2594	tags=78%, list=14%, signal=67%	CHDH/ETFDH/ETFA/ETFB/DHODH/ETFRF1/SQOR
s4	Glycine metabolism	Glycine metabolism	14	0.702525990443306	1.77001127589479	0.00465833131862247	0.0437883143950512	0.0318727932326801	3370	tags=64%, list=19%, signal=52%	SARDH/CHDH/ETFB/ETFA/ETFDH/GCSH/GCAT/DMGDH/SHMT2
s4	mt-tRNA synthetases	mt-tRNA synthetases	20	0.629866751173142	1.73010595327258	0.00514850898831252	0.0439963495364888	0.0320242185875899	6540	tags=85%, list=36%, signal=54%	SARS2/YARS2/GATB/TARS2/AARS2/CARS2/MARS2/DARS2/LARS2/PARS2/EARS2/VARS2/FARS2/IARS2/NARS2/QRSL1/HARS2
s6	Fe-S cluster biosynthesis	Fe-S cluster biosynthesis	22	0.608860503569278	1.72138450003568	0.0061174086925656	0.0442335705462436	0.0312062143831282	3984	tags=50%, list=22%, signal=39%	BOLA1/FDXR/BOLA3/NFU1/GRPEL1/ISCA1/GLRX5/HSCB/NUBPL/NFS1/ABCB7
