p_val	avg_log2FC	pct.1	pct.2	p_val_adj	sig	condition	sig_cond	gene_name
5.28444963515261e-11	-0.673775090854403	0.094	0.12	1.93416141096221e-06	sig	white	white	RMRP
3.25508443750949e-50	-0.476676450494962	0.386	0.466	1.19139345497285e-45	sig	white	white	FOSB
1.38836717695803e-111	-0.445267124793344	0.911	0.932	5.0815627043841e-107	sig	white	white	MT-ND6
3.00694782248617e-263	-0.393706434909598	0.996	0.997	1.10057297250816e-258	sig	white	white	MT-ND1
1.20734972817307e-12	0.391316124146961	0.141	0.11	4.41902074008625e-08	sig	beige	beige	PTPRN
8.46029868656635e-171	-0.370931464467759	0.996	0.996	3.09655392227015e-166	sig	white	white	MT-ND5
4.49731990305741e-198	-0.364246677956266	0.982	0.987	1.64606405771804e-193	sig	white	white	MT-ND2
1.3515777756226e-278	-0.359003653238047	0.998	0.999	4.94690981655627e-274	sig	white	white	MT-ND4
2.31761971540114e-67	0.340119391596119	0.76	0.673	8.48271992033973e-63	sig	beige	beige	PTPRS
3.83366228090044e-09	0.334220576852944	0.113	0.089	0.000140315873143237	sig	beige	beige	OPLAH
8.76885423317956e-08	0.331715297168941	0.129	0.106	0.00320948833788605	sig	beige	beige	DUSP5
3.02790808136426e-10	0.32876339248103	0.127	0.1	1.10824463686013e-05	sig	beige	beige	HDAC10
6.40909329952248e-303	-0.327219932296963	1	1	2.34579223855822e-298	sig	white	white	MT-CO1
4.93409337119997e-226	-0.327186988705157	0.999	1	1.8059275147929e-221	sig	white	white	MT-CO3
9.35669459572915e-19	0.326246936593799	0.202	0.155	3.42464378898283e-14	sig	beige	beige	NFKB2
1.6214296970151e-24	0.321223171681811	0.326	0.263	5.93459483404499e-20	sig	beige	beige	DPP9
1.67701874710928e-19	0.318921902775835	0.235	0.184	6.13805631629468e-15	sig	beige	beige	HECTD3
9.50171751456242e-20	0.311121724619157	0.299	0.244	3.47772362750499e-15	sig	beige	beige	LRP5
2.13425881294552e-17	0.310960557013875	0.224	0.177	7.81160068126191e-13	sig	beige	beige	OSBPL5
4.75489060337652e-11	0.306677245156258	0.15	0.12	1.74033750974184e-06	sig	beige	beige	AXIN1
1.00074616438296e-14	0.306519530548131	0.189	0.149	3.66283103625809e-10	sig	beige	beige	TRIM47
1.74981132575558e-10	0.304210482824451	0.17	0.139	6.40448443339799e-06	sig	beige	beige	SLC43A2
7.8866245671956e-173	-0.303145177966616	0.999	0.998	2.88658345783926e-168	sig	white	white	MT-ND3
2.3701269954273e-12	0.300353011815745	0.127	0.097	8.67490181596345e-08	sig	beige	beige	USP20
5.2968219522047e-44	0.300322017481851	0.941	0.898	1.93868980272644e-39	sig	beige	beige	SLC3A2
1.18548741518796e-13	0.296446347438055	0.132	0.099	4.33900248832946e-09	sig	beige	beige	BCR
7.8380506401056e-15	0.295768234771445	0.164	0.126	2.86880491478505e-10	sig	beige	beige	TTI1
1.72982395896006e-23	0.294228305434504	0.336	0.271	6.33132867218971e-19	sig	beige	beige	RNPEPL1
1.17128814886002e-09	0.294166552195289	0.159	0.13	4.28703175364256e-05	sig	beige	beige	LRP8
2.74748892857889e-22	0.293203781637714	0.315	0.254	1.00560842274916e-17	sig	beige	beige	RNF26
1.20376793342927e-17	0.292724050722516	0.412	0.355	4.40591101314448e-13	sig	beige	beige	ITGA5
2.35278070780412e-13	-0.291794249458339	0.318	0.355	8.61141266863385e-09	sig	white	white	AL136454.1
1.00500468052919e-09	-0.289627898753996	0.392	0.417	3.67841763120488e-05	sig	white	white	AL627171.2
8.18204825759681e-15	0.289291021349142	0.189	0.149	2.99471148276301e-10	sig	beige	beige	TGFBRAP1
3.7333429855925e-16	0.287900794397667	0.24	0.193	1.36644086615671e-11	sig	beige	beige	PARP10
1.25012389235796e-11	0.28684898050951	0.161	0.128	4.57557845841936e-07	sig	beige	beige	PPP1R37
2.34685336275139e-19	0.28675081450142	0.306	0.251	8.58971799300637e-15	sig	beige	beige	FAM20C
3.05620694633315e-15	0.286542992476177	0.2	0.158	1.1186023044274e-10	sig	beige	beige	EPHB4
1.35805583685715e-32	0.286122023853302	0.666	0.592	4.97062016848086e-28	sig	beige	beige	COL18A1
5.47420450810654e-16	0.284246363516401	0.249	0.202	2.00361359201207e-11	sig	beige	beige	ALDH16A1
6.51737911319365e-33	0.284158433630729	0.503	0.421	2.38542592922001e-28	sig	beige	beige	PKN1
3.74923494695902e-15	0.28414781000309	0.206	0.163	1.37225748293647e-10	sig	beige	beige	NACC1
1.04336853014887e-17	0.280619677056114	0.211	0.164	3.81883315719789e-13	sig	beige	beige	RAVER1
5.20413516446472e-11	0.27725576585675	0.158	0.127	1.90476551154573e-06	sig	beige	beige	RNF123
1.61462000514712e-16	0.276302522765187	0.27	0.221	5.90967068083897e-12	sig	beige	beige	INTS1
6.87954142564626e-20	0.275174114660798	0.317	0.258	2.51798095720079e-15	sig	beige	beige	PLXNB2
9.72458570325302e-11	0.274766181539446	0.163	0.131	3.55929561324764e-06	sig	beige	beige	RBM15
1.05912942376583e-22	0.274623618089886	0.365	0.3	3.87651960392531e-18	sig	beige	beige	ARHGEF1
3.54164990835738e-28	0.274600427475241	0.422	0.347	1.29627928295789e-23	sig	beige	beige	TBC1D9B
9.12951459459734e-10	0.274399916589068	0.151	0.123	3.34149363676857e-05	sig	beige	beige	PITPNM1
3.7003851139059e-33	0.272836417171568	0.791	0.773	1.3543779555407e-28	sig	beige	beige	AOC3
9.73342429719713e-34	0.27273263689156	0.607	0.526	3.56253062701712e-29	sig	beige	beige	SUN2
3.54949673597626e-10	0.272645543573589	0.124	0.097	1.29915130033467e-05	sig	beige	beige	MIGA2
1.31328503412819e-30	0.272557106811438	0.483	0.403	4.80675455341258e-26	sig	beige	beige	SCAP
7.32652290031555e-10	0.270328985231891	0.143	0.114	2.68158064674449e-05	sig	beige	beige	XYLT2
