"cluster"	"Cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"short_desc"	"time"
"4"	"4"	"GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	"GOMF_ACTIVE_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	"48/741"	"286/17939"	7.94435821876677e-17	6.83937021197467e-15	6.02207331825861e-15	"NDUFS3/NDUFB2/NDUFA4/NDUFB7/NDUFA9/MT-CO2/MT-CYB/NDUFS1/NDUFB1/NDUFA2/MT-ND1/MT-ND4L/NDUFS5/MT-CO1/NDUFB3/NDUFS7/NDUFA8/NDUFA1/NDUFA12/MT-ND2/NDUFB9/COX6B1/NDUFB6/ATP6V1A/MT-ND4/NDUFS6/MT-ND5/SLC5A3/NDUFS8/COX5B/NDUFA7/NDUFA6/ATP5F1B/COX8A/NDUFB5/UQCR10/CYC1/UQCRH/MT-ND6/NDUFA3/NDUFV3/COX5A/UQCRFS1/NDUFC2/CHP1/COX7B/CYB5A/LETM1"	48	"Activmonoatomiciontrnsmmbrntrnsprtractvty."	"day3"
"4"	"4"	"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY"	"WP_CHOLESTEROL_BIOSYNTHESIS_PATHWAY"	"13/741"	"15/17939"	8.95317953495033e-17	7.60905476117765e-15	6.69978144686904e-15	"SC5D/FDFT1/PMVK/LSS/CYP51A1/DHCR7/MSMO1/FDPS/HMGCR/HMGCS1/IDI1/MVD/NSDHL"	13	"Cholesterol biosynthesis pathway"	"day3"
"4"	"4"	"REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING"	"REACTOME_FORMATION_OF_ATP_BY_CHEMIOSMOTIC_COUPLING"	"14/741"	"18/17939"	9.80663579943736e-17	8.12602358930879e-15	7.15497309314213e-15	"ATP5MC1/ATP5F1D/ATP5F1C/MT-ATP6/ATP5PO/ATP5F1A/ATP5PB/ATP5MG/ATP5MF/MT-ATP8/ATP5ME/ATP5F1B/ATP5MC3/ATP5PF"	14	"Formation of atp by chemiosmotic coupling"	"day3"
"4"	"4"	"WP_CHOLESTEROL_SYNTHESIS_DISORDERS"	"WP_CHOLESTEROL_SYNTHESIS_DISORDERS"	"14/741"	"18/17939"	9.80663579943736e-17	8.12602358930879e-15	7.15497309314213e-15	"SC5D/FDFT1/PMVK/LSS/CYP51A1/DHCR7/DHCR24/MSMO1/FDPS/HMGCR/EBP/HMGCS1/IDI1/MVD"	14	"Cholesterol synthesis disorders"	"day3"
"4"	"4"	"WP_CHOLESTEROL_METABOLISM"	"WP_CHOLESTEROL_METABOLISM"	"24/741"	"72/17939"	5.14732777616705e-16	4.21254763311252e-14	3.70915302389166e-14	"SC5D/FDFT1/LDLR/PLTP/PMVK/LSS/CYP51A1/DHCR7/DHCR24/MSMO1/FDPS/HMGCR/EBP/HMGCS1/IDI1/ACAT2/MVD/NSDHL/PCSK9/DGAT1/APOE/SORT1/TM7SF2/LPL"	24	"Cholesterol metabolism"	"day3"
"4"	"4"	"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP"	"REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP"	"19/741"	"42/17939"	7.37773768431707e-16	5.96427111089486e-14	5.25154755578154e-14	"SC5D/FDFT1/PMVK/LSS/CYP51A1/DHCR7/RXRA/FDPS/HMGCR/ACACA/SREBF1/HMGCS1/IDI1/MVD/ACACB/FASN/GPAM/TM7SF2/SCD"	19	"Activationofgeneexpressionbysrebfsrebp."	"day3"
"4"	"4"	"GOBP_TRICARBOXYLIC_ACID_CYCLE"	"GOBP_TRICARBOXYLIC_ACID_CYCLE"	"17/741"	"32/17939"	7.8460405492971e-16	6.26643407244463e-14	5.51760239008908e-14	"IDH2/MDH2/SUCLA2/FH/MDH1/SDHD/IDH3A/PDHB/SDHB/MRPS36/SUCLG1/IDH1/PDHA1/ACO2/ACO1/CS/DLAT"	17	"Tricarboxylic acid cycle"	"day3"
"4"	"4"	"GOBP_STEROL_BIOSYNTHETIC_PROCESS"	"GOBP_STEROL_BIOSYNTHETIC_PROCESS"	"22/741"	"61/17939"	1.27013551225122e-15	1.00234860841825e-13	8.82569099678322e-14	"SC5D/FDFT1/PMVK/LSS/CYP51A1/DHCR7/DHCR24/MSMO1/FDPS/HMGCR/ACLY/LPCAT3/SREBF1/EBP/HMGCS1/ACAA2/IDI1/MVD/INSIG1/NSDHL/APOE/TM7SF2"	22	"Sterol biosynthetic process"	"day3"
"4"	"4"	"GOBP_FATTY_ACID_BETA_OXIDATION"	"GOBP_FATTY_ACID_BETA_OXIDATION"	"24/741"	"75/17939"	1.4840728275279e-15	1.15740220866852e-13	1.01909397258727e-13	"HSD17B10/LONP2/ETFB/MTLN/HSD17B4/ECHDC1/HADHA/ECH1/DECR1/HADHB/ECHS1/ACADVL/ACADM/ACOX1/AKT2/ETFA/ACADS/ETFDH/ECHDC2/ACAA2/ACAT2/ACACB/HADH/ADIPOQ"	24	"Fatty acid beta oxidation"	"day3"
"4"	"4"	"GOMF_PROTON_TRANSPORTING_ATP_SYNTHASE_ACTIVITY_ROTATIONAL_MECHANISM"	"GOMF_PROTON_TRANSPORTING_ATP_SYNTHASE_ACTIVITY_ROTATIONAL_MECHANISM"	"13/741"	"17/17939"	1.87926971643327e-15	1.4485673197949e-13	1.27546518697949e-13	"ATP5F1D/ATP5F1C/MT-ATP6/ATP5PO/ATP5F1A/ATP6V1A/ATP5PB/ATP5MG/ATP5MF/MT-ATP8/ATP5ME/ATP5F1B/ATP5PF"	13	"Protontrnsprtngatpsynthsactvtyrttnlmchnsm."	"day3"
