"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"abbrev_ID"
"3"	"3"	"GOMF_ALDO_KETO_REDUCTASE_NADPH_ACTIVITY"	"GOMF_ALDO_KETO_REDUCTASE_NADPH_ACTIVITY"	"5/245"	"29/17939"	4.14367352931865e-05	0.00148399173635822	0.00120762205764118	"AKR1C2/AKR1C1/AKR1C3/DHRS7/AKR1B1"	5	"gomf aldo keto reductase nadph activity"
"3"	"3"	"GOMF_AMIDE_BINDING"	"GOMF_AMIDE_BINDING"	"13/245"	"251/17939"	4.34908822595504e-05	0.00154602032565617	0.00125809881624118	"CST3/FKBP5/PGRMC1/ACACB/PIK3R1/EDNRB/SLC40A1/GSTM3/PLTP/RAMP2/LDLR/CALCRL/EPHA4"	13	"gomf amide binding"
"3"	"3"	"GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION"	"GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION"	"14/245"	"289/17939"	4.60435608741262e-05	0.00161708930257308	0.00131593233514572	"FBLN1/PIK3R1/CXCL12/DLC1/PLXND1/APOD/ABL1/ARHGAP6/BCL6/CORO2B/ZNF703/EPHA4/MELTF/PLXNA4"	14	"gobpnegativeregulationofcelladhesion."
"3"	"3"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION"	"15/245"	"327/17939"	4.61640413528884e-05	0.00161708930257308	0.00131593233514572	"LAMA2/NID1/CST3/GSN/LAMC1/TGFBR3/FBLN1/COL4A1/VIT/RAMP2/ADAMTS15/ABL1/SOX9/TMEM38B/MELTF"	15	"gobpexternalencapsulatingstructurorgnztn."
"3"	"3"	"GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT"	"GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT"	"10/245"	"153/17939"	4.89018565885502e-05	0.00170057978093081	0.00138387404991244	"CRLF1/MYC/TMEM59L/EDNRB/SFRP1/SPRY1/SOX9/BMPER/HES1/EPHA4"	10	"gobp kidney epithelium development"
"3"	"3"	"GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT"	"GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT"	"14/245"	"293/17939"	5.34250190519215e-05	0.00184450839158396	0.00150099826340499	"HSPB6/ANGPTL4/SERPINF1/CXCL12/SFRP1/TGFBR2/F3/HIPK2/NRP1/PLXND1/RAMP2/GLUL/ABL1/BMPER"	14	"gobpregulationofvasculaturedevelopment."
"3"	"3"	"GOBP_NEGATIVE_REGULATION_OF_GROWTH"	"GOBP_NEGATIVE_REGULATION_OF_GROWTH"	"12/245"	"222/17939"	5.67965792569456e-05	0.00194690559895773	0.00158432563190427	"IGFBP5/MT1X/MT2A/SFRP1/MSX1/G6PD/MT1M/NRP1/MT1A/PTPRS/BCL6/DCUN1D3"	12	"gobp negative regulation of growth"
"3"	"3"	"GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE"	"GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE"	"10/245"	"156/17939"	5.76430979333824e-05	0.00195949782807261	0.00159457276014726	"COL4A1/MYC/TMEM59L/TGFBR2/NRP1/SPRY1/PLXND1/CSF1/ABL1/SOX9"	10	"gobpbranchingmorphogenesisofanepithelltb."
"3"	"3"	"WP_OXIDATIVE_STRESS_RESPONSE"	"WP_OXIDATIVE_STRESS_RESPONSE"	"5/245"	"31/17939"	5.79805566964598e-05	0.00195949782807261	0.00159457276014726	"GPX3/MGST1/MT1X/MAOA/GSR"	5	"wp oxidative stress response"
"3"	"3"	"GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	"GOMF_ACTIVE_TRANSMEMBRANE_TRANSPORTER_ACTIVITY"	"18/245"	"457/17939"	6.02039303596143e-05	0.00202041022234818	0.00164414119715988	"MT-ND2/MT-ND5/CYB5A/MT-ND1/MT-ND4/MT-ND4L/MT-ND3/MT-CO1/MT-CYB/MT-CO2/MT-CO3/MT-ND6/CYBRD1/COX7A1/ABCC1/SLC5A3/ABCC9/ABCA6"	18	"gomfactivtransmembrantransporteractivity."
"3"	"3"	"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT"	"GOBP_PROTON_TRANSMEMBRANE_TRANSPORT"	"10/245"	"157/17939"	6.08377655863431e-05	0.00202750303506153	0.00164991308717349	"MT-ND5/CYB5A/MT-ND4/MT-ATP6/MT-CO1/MT-CYB/MT-CO2/MT-CO3/MT-ATP8/COX7A1"	10	"gobp proton transmembrane transport"
"3"	"3"	"HALLMARK_ANDROGEN_RESPONSE"	"HALLMARK_ANDROGEN_RESPONSE"	"8/245"	"99/17939"	6.34163580114419e-05	0.00209886277308214	0.00170798321758584	"FADS1/FKBP5/DHCR24/ALDH1A3/GSR/HMGCR/HMGCS1/NDRG1"	8	"hallmark androgen response"
"3"	"3"	"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I"	"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_ELECTRON_TRANSFER_IN_COMPLEX_I"	"6/245"	"51/17939"	6.5726327835153e-05	0.00216041539233492	0.0017580726479338	"MT-ND2/MT-ND5/MT-ND1/MT-ND4/MT-ND3/MT-ND6"	6	"keggmdcsvrntmttncsdabrrntabttelctrntrnsfrincmplxi."
"3"	"3"	"GOMF_WNT_PROTEIN_BINDING"	"GOMF_WNT_PROTEIN_BINDING"	"5/245"	"32/17939"	6.79570299203024e-05	0.00221854276590157	0.00180537472971229	"APCDD1/NID1/SFRP1/WLS/TRABD2A"	5	"gomf wnt protein binding"
"3"	"3"	"GOBP_RETINOL_METABOLIC_PROCESS"	"GOBP_RETINOL_METABOLIC_PROCESS"	"6/245"	"52/17939"	7.34584022635104e-05	0.00238193832744991	0.00193834048646958	"ADH1B/AKR1C3/DHRS7/ALDH1A3/AKR1B1/RDH5"	6	"gobp retinol metabolic process"
"3"	"3"	"REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS"	"REACTOME_PHASE_I_FUNCTIONALIZATION_OF_COMPOUNDS"	"8/245"	"102/17939"	7.84311723144193e-05	0.00252611540897247	0.00205566689711406	"ADH1B/EPHX1/CES1/MAOA/POR/CYP51A1/CMBL/AOC2"	8	"reactomphasifunctionalizationofcompounds."
"3"	"3"	"GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA"	"GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA"	"13/245"	"268/17939"	8.48258557536039e-05	0.0027138618784103	0.00220844859540962	"TGFBR3/JUN/ZFP36L2/SFRP1/TGFBR2/HTRA3/CILP/HIPK2/SPRY1/ABL1/ADAM17/SOX9/ZNF703"	13	"gobpresponsettransforminggrowthfactorbet."
"3"	"3"	"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS"	"GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS"	"8/245"	"104/17939"	8.9993431769789e-05	0.00284130578331064	0.00231215811541494	"SFRP1/HTRA3/HIPK2/SPRY1/GPC1/ABL1/BMPER/TOB1"	8	"gobpngtvrgltnofclllrrspnstgrwthfctrstmls."
"3"	"3"	"GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY"	"GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY"	"8/245"	"104/17939"	8.9993431769789e-05	0.00284130578331064	0.00231215811541494	"SFRP1/MSX1/HTRA3/HIPK2/ABL1/BMPER/TOB1/HES1"	8	"gobp regulation of bmp signaling pathway"
"3"	"3"	"GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS"	"GOBP_BRANCHING_INVOLVED_IN_BLOOD_VESSEL_MORPHOGENESIS"	"5/245"	"34/17939"	9.18347733399031e-05	0.0028617862159623	0.00232882439570089	"COL4A1/TGFBR2/NRP1/PLXND1/ABL1"	5	"gobpbranchinginvolvedinbloodvsslmrphgnss."
"3"	"3"	"GOBP_GLYCOPROTEIN_CATABOLIC_PROCESS"	"GOBP_GLYCOPROTEIN_CATABOLIC_PROCESS"	"5/245"	"34/17939"	9.18347733399031e-05	0.0028617862159623	0.00232882439570089	"CST3/CTSL/GPC1/MAN1A1/EDEM3"	5	"gobp glycoprotein catabolic process"
"3"	"3"	"GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT"	"GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT"	"10/245"	"166/17939"	9.70277133528748e-05	0.00300410320245449	0.00244463712420486	"HSPB6/ANGPTL4/CXCL12/TGFBR2/F3/HIPK2/NRP1/RAMP2/ABL1/BMPER"	10	"gobppositivregulationofvasculaturdvlpmnt."
"3"	"3"	"WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM"	"WP_MITOCHONDRIAL_COMPLEX_I_ASSEMBLY_MODEL_OXPHOS_SYSTEM"	"6/245"	"56/17939"	0.000111942257460662	0.00340096813925245	0.00276759232660897	"MT-ND2/MT-ND5/MT-ND1/MT-ND4/MT-ND4L/MT-ND6"	6	"wpmitochondrilcmplxiassmblymdloxphssystm."
"3"	"3"	"GOMF_ESTRADIOL_17_BETA_DEHYDROGENASE_NAD_P_ACTIVITY"	"GOMF_ESTRADIOL_17_BETA_DEHYDROGENASE_NAD_P_ACTIVITY"	"4/245"	"19/17939"	0.000111971862054988	0.00340096813925245	0.00276759232660897	"AKR1C2/AKR1C1/AKR1C3/HSD17B7"	4	"gomfestradiol17betdehydrogenasnadpactvty."
"3"	"3"	"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV"	"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_IV"	"4/245"	"19/17939"	0.000111971862054988	0.00340096813925245	0.00276759232660897	"MT-CO1/MT-CO2/MT-CO3/COX7A1"	4	"keggmedicusreferencelctrntrnsfrincmplxiv."
