"Cluster"	"cluster"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"abbrev_ID"
"3"	"3"	"GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY"	"GOBP_POSITIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY"	"12/1855"	"35/17939"	0.000123997578822618	0.00247826453456362	0.0019744309543518	"CFL2/WDR1/BNIP3/EIF5A/DSTN/TOM1/EIF5A2/FYCO1/WASHC2C/SEMA5A/JMJD4/NES"	12	"gobppositvrgltnofprtncntnngcmplxdsssmbly."
"3"	"3"	"REACTOME_LYSOSOME_VESICLE_BIOGENESIS"	"REACTOME_LYSOSOME_VESICLE_BIOGENESIS"	"12/1855"	"35/17939"	0.000123997578822618	0.00247826453456362	0.0019744309543518	"CTSZ/ARF1/CLTC/CHMP2A/CLTB/AP1S1/AP1B1/AP1M1/AP4M1/DNASE2/AP4E1/AP1S2"	12	"reactome lysosome vesicle biogenesis"
"3"	"3"	"HALLMARK_ESTROGEN_RESPONSE_EARLY"	"HALLMARK_ESTROGEN_RESPONSE_EARLY"	"38/1855"	"198/17939"	0.000126337405240038	0.00251931649272782	0.00200713700966015	"FLNB/CLIC3/TPD52L1/KRT18/BHLHE40/STC2/KRT19/PRSS23/SLC7A5/MYOF/FHL2/KRT8/FARP1/XBP1/CCND1/PAPSS2/SLC1A4/DEPTOR/UGCG/SNX24/OLFML3/RBBP8/B4GALT1/ARL3/NCOR2/MED13L/SLC2A1/TPBG/OPN3/HSPB8/KLF4/RPS6KA2/SLC1A1/SYNGR1/TGM2/MYBBP1A/KLF10/RRP12"	38	"hallmark estrogen response early"
"3"	"3"	"GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM"	"GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM"	"17/1855"	"62/17939"	0.000129473516155253	0.00257602612052461	0.00205231751519947	"MSN/CTHRC1/WDR1/CDC42/ACTG1/RHOA/ACTB/EZR/FZD6/YAP1/RPGRIP1L/PTK7/PAFAH1B1/INTU/FZD2/FAT1/FZD1"	17	"gobpmorphogenesisofapolarizedepithelium."
"3"	"3"	"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY"	"KEGG_MEDICUS_PATHOGEN_ESCHERICHIA_ESPG_TO_MICROTUBULE_RHOA_SIGNALING_PATHWAY"	"8/1855"	"17/17939"	0.00013271180306162	0.00262269469099803	0.00208949832009457	"TUBA1A/TUBB6/TUBA1C/TUBB4B/TUBA1B/TUBB/TUBB2A/TUBB3"	8	"kggmdcspthgneschrchespgtmcrtblrhsgnlngpt."
"3"	"3"	"WP_CANONICAL_AND_NONCANONICAL_TGFB_SIGNALING"	"WP_CANONICAL_AND_NONCANONICAL_TGFB_SIGNALING"	"8/1855"	"17/17939"	0.00013271180306162	0.00262269469099803	0.00208949832009457	"GREM1/LOXL1/LOXL4/LOX/LOXL2/TGFBR1/SMAD3/BMPR2"	8	"wpcanonicalandnoncanonicaltgfbsignaling."
"3"	"3"	"WP_CORI_CYCLE"	"WP_CORI_CYCLE"	"8/1855"	"17/17939"	0.00013271180306162	0.00262269469099803	0.00208949832009457	"PFKP/PGK1/PGAM1/GAPDH/TPI1/ALDOA/HK1/SLC2A1"	8	"wp cori cycle"
"3"	"3"	"GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION"	"GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION"	"15/1855"	"51/17939"	0.000134898183647477	0.00265400131845728	0.00211444027986917	"LMOD1/VASP/CDC42EP3/CDC42EP5/CDC42EP1/CTTN/ARPC2/PFN1/BAIAP2L2/FCHSD1/PFN2/DLG1/FER/FCHSD2/WASHC2C"	15	"gobppositivregulationofactnflmntplymrztn."
"3"	"3"	"GOCC_CLATHRIN_COAT"	"GOCC_CLATHRIN_COAT"	"15/1855"	"51/17939"	0.000134898183647477	0.00265400131845728	0.00211444027986917	"AP2M1/BAIAP2L2/CLTC/CLTB/AP1S1/EPN1/AP2A2/AP1B1/AP1M1/NECAP2/AP4M1/EPN2/AP2B1/NCALD/AP1S2"	15	"gocc clathrin coat"
"3"	"3"	"GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT"	"GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT"	"70/1855"	"437/17939"	0.000136141696571658	0.00267250092111935	0.00212917889539216	"DPYSL3/SYNE1/SEMA7A/CRABP2/SKIL/SIPA1L1/SLIT2/TRPV2/DAB2/DBN1/VEGFA/PDLIM5/YWHAH/NPTN/FLNA/MAP1B/THY1/FN1/RHOA/CFL1/VIM/EHD1/PRRX1/GDI1/MACF1/DDR2/PRKCI/PRKD1/SRF/VLDLR/NEGR1/PAK1/PTK7/CAMK2G/PAFAH1B1/CIB1/CYFIP1/BDNF/ABL2/STK25/ABI2/LIMK1/ARHGAP35/TENM3/CHN1/KLF4/BMPR2/CUL7/WASHC5/APBB1/PTPRF/FZD1/TRAK1/FBXW8/SMURF1/PPP2R5B/PLXNB2/NDEL1/UST/ANKRD27/ROR1/KANK1/NFATC4/NCS1/PLXNA1/SEMA5A/CAPRIN2/ARSB/DTNBP1/GORASP1"	70	"gobpregulationofneuronprojectiondevlpmnt."
