orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	rpca_clusters	harmony_clusters	fastmnn_clusters	raw_pseudotime	monocle_pseudotime	pscondition	velocity_pseudotime
asc_day0	43173	5991	asc_day0	asc	day0	rep1	1.16044750191092	3	2	asc.day0	day0.rep1	3	4	2	2	39.4285241217852	0.281505377829666	white	0.303639531135559
asc_day0	40737	6248	asc_day0	asc	day0	rep1	0.252841397255566	3	2	asc.day0	day0.rep1	3	4	2	2	36.9467024412997	0.326730898447856	white	0.352981060743332
asc_day0	42668	5600	asc_day0	asc	day0	rep1	0.499203149901566	3	2	asc.day0	day0.rep1	3	0	2	2	42.7879178392088	0.220288115112291	white	NA
asc_day0	26252	5191	asc_day0	asc	day0	rep1	0.636142008227945	3	0	asc.day0	day0.rep1	3	1	2	0	46.3175796742825	0.155968105599708	white	NA
asc_day0	20480	4352	asc_day0	asc	day0	rep1	1.11328125	3	2	asc.day0	day0.rep1	3	1	2	2	49.1779785794991	0.103843881413379	white	NA
asc_day0	36008	5505	asc_day0	asc	day0	rep1	1.05809820039991	3	2	asc.day0	day0.rep1	3	4	2	2	38.0698245347473	0.306264568496211	white	0.366121500730515
asc_day0	25063	5001	asc_day0	asc	day0	rep1	0.315205681682161	3	2	asc.day0	day0.rep1	3	8	2	2	43.9172471225957	0.199708673328807	white	NA
asc_day0	21460	4440	asc_day0	asc	day0	rep1	0.866728797763281	3	2	asc.day0	day0.rep1	3	0	2	2	50.9660973371416	0.0712595090640669	white	NA
asc_day0	38094	5542	asc_day0	asc	day0	rep1	0.364886858822912	3	2	asc.day0	day0.rep1	3	3	2	2	42.4754699797752	0.2259817623312	white	NA
asc_day0	43561	6364	asc_day0	asc	day0	rep1	0.601455430316108	8	7	asc.day0	day0.rep1	8	9	8	7	54.8765581501314	3.09615904026117e-07	white	0.101207919418812
asc_day0	58912	7226	asc_day0	asc	day0	rep1	0.33779196089082	3	2	asc.day0	day0.rep1	3	4	2	2	51.1243155662509	0.0683763439120272	white	NA
asc_day0	47282	6482	asc_day0	asc	day0	rep1	0.454718497525485	3	2	asc.day0	day0.rep1	3	0	2	2	51.1243156431317	0.0683763425110503	white	NA
asc_day0	35112	5639	asc_day0	asc	day0	rep1	0.880041011619959	3	0	asc.day0	day0.rep1	3	1	2	0	48.9300023309022	0.108362681064425	white	NA
asc_day0	28835	5100	asc_day0	asc	day0	rep1	0.20461245014739	3	0	asc.day0	day0.rep1	3	1	2	0	48.913658103641	0.108660517203421	white	NA
asc_day0	25959	4945	asc_day0	asc	day0	rep1	1.28279209522709	3	2	asc.day0	day0.rep1	3	1	2	2	37.0791895407661	0.324316624249319	white	NA
asc_day0	37402	5526	asc_day0	asc	day0	rep1	1.02133575744613	3	2	asc.day0	day0.rep1	3	4	2	2	37.0791896176469	0.324316622848342	white	NA
asc_day0	34936	5176	asc_day0	asc	day0	rep1	0.231852530341195	3	2	asc.day0	day0.rep1	3	0	2	2	43.8878435403029	0.200244486327657	white	NA
asc_day0	41319	6185	asc_day0	asc	day0	rep1	0.750260170865703	3	2	asc.day0	day0.rep1	3	4	2	2	37.1391520898966	0.323223944012321	white	NA
asc_day0	32097	5400	asc_day0	asc	day0	rep1	0.124622238838521	3	2	asc.day0	day0.rep1	3	4	2	2	53.069021872156	0.0329385218373844	white	NA
asc_day0	33568	5412	asc_day0	asc	day0	rep1	0.580910390848427	3	2	asc.day0	day0.rep1	3	0	2	2	43.7708992306066	0.202375528751429	white	NA
asc_day0	24343	4739	asc_day0	asc	day0	rep1	0.973585835763875	3	4	asc.day0	day0.rep1	3	1	2	4	47.4117284594084	0.13602974788845	white	NA
asc_day0	54030	6802	asc_day0	asc	day0	rep1	0.096242828058486	3	2	asc.day0	day0.rep1	3	1	2	2	45.4055554490283	0.172587659989069	white	NA
asc_day0	28023	5177	asc_day0	asc	day0	rep1	1.26681654355351	3	0	asc.day0	day0.rep1	3	1	2	0	47.7826362016667	0.129270803087198	white	0.371312707662582
asc_day0	41829	6473	asc_day0	asc	day0	rep1	0.583327356618614	3	0	asc.day0	day0.rep1	3	8	2	0	48.6783701786107	0.112948101193978	white	0.363636016845703
asc_day0	45667	6267	asc_day0	asc	day0	rep1	0.46860971817724	3	2	asc.day0	day0.rep1	3	4	2	2	36.9396868941549	0.326858740739886	white	0.367618501186371
asc_day0	19566	4604	asc_day0	asc	day0	rep1	0.925074108146785	3	0	asc.day0	day0.rep1	3	1	2	0	44.1255177501566	0.195913417757071	white	NA
asc_day0	41918	6127	asc_day0	asc	day0	rep1	0.901760580180352	3	2	asc.day0	day0.rep1	3	4	2	2	37.0791896945278	0.324316621447365	white	NA
asc_day0	23490	5096	asc_day0	asc	day0	rep1	1.24308216262239	3	0	asc.day0	day0.rep1	3	1	2	0	44.8187830693464	0.18328024381334	white	NA
asc_day0	41365	6336	asc_day0	asc	day0	rep1	0.848543454611386	3	2	asc.day0	day0.rep1	3	4	2	2	36.1276838362925	0.341655638246319	white	NA
asc_day0	34486	5548	asc_day0	asc	day0	rep1	0.347967291074639	3	2	asc.day0	day0.rep1	3	6	2	2	37.8805560486715	0.309713553524708	white	NA
asc_day0	45151	6571	asc_day0	asc	day0	rep1	0.252486102190428	3	2	asc.day0	day0.rep1	3	4	2	2	37.0791897714086	0.324316620046388	white	NA
asc_day0	25392	5171	asc_day0	asc	day0	rep1	1.08695652173913	3	2	asc.day0	day0.rep1	3	1	2	2	49.157726883731	0.10421292222389	white	0.366534262895584
asc_day0	33174	5928	asc_day0	asc	day0	rep1	1.43184421534937	3	2	asc.day0	day0.rep1	3	7	2	2	52.1508408234409	0.0496702702447779	white	NA
asc_day0	40176	6031	asc_day0	asc	day0	rep1	0.0746714456391876	3	2	asc.day0	day0.rep1	3	4	2	2	41.8968768986502	0.236525297157134	white	NA
asc_day0	37931	5894	asc_day0	asc	day0	rep1	1.12836466214969	3	2	asc.day0	day0.rep1	3	4	2	2	37.0791898482894	0.324316618645412	white	NA
asc_day0	37061	5704	asc_day0	asc	day0	rep1	0.682658320066917	3	2	asc.day0	day0.rep1	3	4	2	2	39.7742612547886	0.275205109780568	white	NA
asc_day0	23477	4368	asc_day0	asc	day0	rep1	0.962644290156323	3	2	asc.day0	day0.rep1	3	1	2	2	51.0798373097748	0.0691868583503265	white	NA
asc_day0	54922	6330	asc_day0	asc	day0	rep1	0.00728305597028513	3	0	asc.day0	day0.rep1	3	0	2	0	43.8255914720398	0.201378887811413	white	NA
asc_day0	51050	6912	asc_day0	asc	day0	rep1	0.544564152791381	3	0	asc.day0	day0.rep1	3	1	2	0	43.7036644802855	0.203600728213105	white	0.358071386814117
asc_day0	42549	6266	asc_day0	asc	day0	rep1	0.232672918282451	3	0	asc.day0	day0.rep1	3	7	2	0	43.4464059790113	0.208288675677285	white	NA
asc_day0	22552	4677	asc_day0	asc	day0	rep1	1.23714083008159	3	0	asc.day0	day0.rep1	3	1	2	0	48.6482006480731	0.113497871846761	white	0.370947986841202
asc_day0	45629	6598	asc_day0	asc	day0	rep1	0.657476604790813	3	2	asc.day0	day0.rep1	3	4	2	2	52.1933688430927	0.0488952944095933	white	0.35021835565567
asc_day0	47933	6811	asc_day0	asc	day0	rep1	0.277470636096218	3	2	asc.day0	day0.rep1	3	4	2	2	36.231958866521	0.339755464447919	white	NA
asc_day0	49347	6422	asc_day0	asc	day0	rep1	0.297890449267433	3	2	asc.day0	day0.rep1	3	1	2	2	43.4026383471379	0.209086240608425	white	NA
asc_day0	54899	6553	asc_day0	asc	day0	rep1	0.14754367110512	3	2	asc.day0	day0.rep1	3	4	2	2	38.970253533158	0.289856310581053	white	NA
asc_day0	46586	6627	asc_day0	asc	day0	rep1	1.28364744773108	3	2	asc.day0	day0.rep1	3	7	2	2	41.9401697872709	0.235736383335352	white	NA
asc_day0	45891	6598	asc_day0	asc	day0	rep1	0.178684273604846	3	2	asc.day0	day0.rep1	3	1	2	2	45.0764582214817	0.178584703840698	white	NA
asc_day0	51625	6631	asc_day0	asc	day0	rep1	0.224697336561743	3	2	asc.day0	day0.rep1	3	4	2	2	40.5480795098656	0.261104042921136	white	NA
asc_day0	45171	6115	asc_day0	asc	day0	rep1	0.139470013947001	3	0	asc.day0	day0.rep1	3	0	2	0	43.4608717413835	0.208025070262131	white	NA
asc_day0	17828	4180	asc_day0	asc	day0	rep1	1.78371101637873	3	0	asc.day0	day0.rep1	3	1	2	0	46.7921584215383	0.147319993977613	white	NA
asc_day0	48874	6258	asc_day0	asc	day0	rep1	0.679297786143962	3	2	asc.day0	day0.rep1	3	4	2	2	37.1716519766142	0.322631707951047	white	NA
asc_day0	22099	4558	asc_day0	asc	day0	rep1	0.651613195167202	3	2	asc.day0	day0.rep1	3	1	2	2	42.7090303956842	0.221725658241071	white	NA
asc_day0	28019	5354	asc_day0	asc	day0	rep1	0.260537492415861	3	0	asc.day0	day0.rep1	3	1	2	0	46.0285504158766	0.161235002407033	white	NA
asc_day0	36147	5709	asc_day0	asc	day0	rep1	0.702686253354359	3	2	asc.day0	day0.rep1	3	4	2	2	36.3039865961812	0.33844292390625	white	NA
asc_day0	31239	5585	asc_day0	asc	day0	rep1	0.672236627292807	3	2	asc.day0	day0.rep1	3	4	2	2	37.0791899251702	0.324316617244435	white	NA
asc_day0	39680	5879	asc_day0	asc	day0	rep1	0.078125	3	2	asc.day0	day0.rep1	3	4	2	2	37.079190002051	0.324316615843458	white	NA
asc_day0	27561	5260	asc_day0	asc	day0	rep1	0.85991074344182	3	2	asc.day0	day0.rep1	3	1	2	2	41.8036288575806	0.238224529312757	white	NA
asc_day0	41180	5503	asc_day0	asc	day0	rep1	0.21369596891695	3	2	asc.day0	day0.rep1	3	4	2	2	41.7893281951619	0.238485126159079	white	NA
asc_day0	48069	6422	asc_day0	asc	day0	rep1	1.15875096215856	3	2	asc.day0	day0.rep1	3	6	2	2	37.2163638725867	0.321816935967596	white	NA
asc_day0	27381	5267	asc_day0	asc	day0	rep1	1.65808407289726	3	2	asc.day0	day0.rep1	3	4	2	2	41.2347575673825	0.248590906746819	white	NA
asc_day0	22181	4714	asc_day0	asc	day0	rep1	0.27951850683017	3	0	asc.day0	day0.rep1	3	1	2	0	46.192567370115	0.158246168759567	white	NA
asc_day0	40280	5779	asc_day0	asc	day0	rep1	0.22343594836147	3	2	asc.day0	day0.rep1	3	4	2	2	41.9401698641517	0.235736381934375	white	NA
asc_day0	31163	5709	asc_day0	asc	day0	rep1	0.526265122099926	3	2	asc.day0	day0.rep1	3	4	2	2	53.2788275047648	0.0291152943114222	white	NA
asc_day0	21446	4612	asc_day0	asc	day0	rep1	1.16571854891355	3	0	asc.day0	day0.rep1	3	1	2	0	47.6719044893692	0.131288635140554	white	NA
asc_day0	35249	5520	asc_day0	asc	day0	rep1	0.8397401344719	3	2	asc.day0	day0.rep1	3	4	2	2	37.9249601139493	0.308904391051214	white	0.330673813819885
asc_day0	36762	5788	asc_day0	asc	day0	rep1	0.497796637832545	3	2	asc.day0	day0.rep1	3	1	2	2	43.8684622742716	0.200597665548146	white	NA
asc_day0	33118	5239	asc_day0	asc	day0	rep1	1.77245002717555	3	2	asc.day0	day0.rep1	3	4	2	2	42.3640638589392	0.228011883936825	white	NA
asc_day0	44181	5999	asc_day0	asc	day0	rep1	0.169756230053643	3	2	asc.day0	day0.rep1	3	4	2	2	39.7367400743598	0.275888847428783	white	NA
asc_day0	23267	4522	asc_day0	asc	day0	rep1	0.842394808097305	3	2	asc.day0	day0.rep1	3	8	2	2	50.0654119143764	0.0876724397262741	white	0.387094080448151
asc_day0	53008	6038	asc_day0	asc	day0	rep1	0.594249924539692	3	2	asc.day0	day0.rep1	3	4	2	2	38.5554558130798	0.297415049788337	white	NA
asc_day0	21856	4791	asc_day0	asc	day0	rep1	0.887628111273792	3	0	asc.day0	day0.rep1	3	1	2	0	44.8187831462272	0.183280242412363	white	NA
asc_day0	34272	5554	asc_day0	asc	day0	rep1	0.633169934640523	3	2	asc.day0	day0.rep1	3	4	2	2	41.9401699410325	0.235736380533398	white	NA
asc_day0	28991	5250	asc_day0	asc	day0	rep1	0.886482011658791	3	2	asc.day0	day0.rep1	3	4	2	2	40.5953266822277	0.26024307132732	white	0.370306015014648
asc_day0	27715	4982	asc_day0	asc	day0	rep1	0.591737326357568	3	2	asc.day0	day0.rep1	3	4	2	2	38.029661941827	0.30699643984236	white	NA
