lowercase	capital
atp	ATP
bmp	BMP
e2f	E2F
ecm	ECM
er	ER
erad	ERAD
etc	ETC
fa	FA
g2m	G2M
hox	HOX
ii	II
mhc	MHC
mrna	mRNA
mtorc1	mTORC1
nadh	NADH
ncrna	ncRNA
nfkb	NFKb
rna	RNA
rrna	rRNA
srebf	SREBF
srebp	SREBP
tca	TCA
tcf	TCF
TGFB	TGFb
tnfa	TFNa
upr	UPR
uv	UV
vegfavegfr2	UVEGFA-VEGFR2
nrf2	NRF2
ch	CH
