orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	fastmnn_clusters	progen_clusters	if_progen_cluster	time.progen_clusters	raw_pseudotime	monocle_pseudotime	pscondition	sample_or_progen_cluster
beige_day3	16174	3496	beige_day3	beige	day3	rep1	2.28762210955855	4	6	beige.day3	day3.rep1	4	6	NA	t4	day3	0.0326828361508771	0.999097694976738	beige	beige.day3
beige_day3	16826	3311	beige_day3	beige	day3	rep1	1.49173897539522	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	4.63050190880237	0.872161488273219	beige	beige.day3
beige_day3	11061	2393	beige_day3	beige	day3	rep1	1.0035259018172	1	1	beige.day3	day3.rep1	1	1	NA	t1	day3	8.78333524363812	0.757510410824018	beige	beige.day3
beige_day3	8144	2344	beige_day3	beige	day3	rep1	1.68222003929273	1	1	beige.day3	day3.rep1	1	1	NA	t1	day3	10.0657537977362	0.722105506000405	beige	beige.day3
beige_day3	9502	2508	beige_day3	beige	day3	rep1	2.09429593769733	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	4.67874549030278	0.870829583486038	beige	beige.day3
beige_day3	24443	4849	beige_day3	beige	day3	rep1	0.789592112261179	5	5	beige.day3	day3.rep1	5	5	NA	t5	day3	12.4549506826912	0.656144757034012	beige	beige.day3
beige_day3	13881	2960	beige_day3	beige	day3	rep1	1.29673654635833	2	1	beige.day3	day3.rep1	2	1	NA	t2	day3	5.55591368474011	0.846612796900167	beige	beige.day3
beige_day3	34412	5161	beige_day3	beige	day3	rep1	1.57793792862955	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	3.05810567884667	0.915572072663697	beige	beige.day3
beige_day3	10889	2723	beige_day3	beige	day3	rep1	2.60813665166682	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	4.11536656552219	0.88638330200309	beige	beige.day3
beige_day3	11734	2775	beige_day3	beige	day3	rep1	1.27833645815579	5	5	beige.day3	day3.rep1	5	5	NA	t5	day3	12.4549510355815	0.656144747291448	beige	beige.day3
beige_day3	9699	2551	beige_day3	beige	day3	rep1	2.60851634189092	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	4.67874584319299	0.870829573743474	beige	beige.day3
beige_day3	10384	2577	beige_day3	beige	day3	rep1	1.90677966101695	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	15.0982063795811	0.583169973509708	beige	beige.day3
beige_day3	11767	2919	beige_day3	beige	day3	rep1	3.10189513044956	4	6	beige.day3	day3.rep1	4	6	NA	t4	day3	0.0326824832606678	0.999097704719301	beige	beige.day3
beige_day3	17149	3141	beige_day3	beige	day3	rep1	0.932999008688553	2	1	beige.day3	day3.rep1	2	1	NA	t2	day3	4.6787461960832	0.870829564000911	beige	beige.day3
beige_day3	11787	3183	beige_day3	beige	day3	rep1	1.17078136930517	5	5	beige.day3	day3.rep1	5	5	NA	t5	day3	12.4407683230233	0.656536302440628	beige	beige.day3
beige_day3	14812	3017	beige_day3	beige	day3	rep1	1.18147448015123	2	1	beige.day3	day3.rep1	2	1	NA	t2	day3	7.55759965872871	0.791350416946789	beige	beige.day3
beige_day3	14512	3411	beige_day3	beige	day3	rep1	1.65380374862183	1	4	beige.day3	day3.rep1	1	4	NA	t1	day3	14.2666152956668	0.606128471017455	beige	beige.day3
beige_day3	7338	2193	beige_day3	beige	day3	rep1	3.31152902698283	2	3	beige.day3	day3.rep1	2	3	NA	t2	day3	7.55760001161892	0.791350407204226	beige	beige.day3
