orig.ident	nCount_RNA	nFeature_RNA	sample	condition	time	rep	percent.mt	RNA_snn_res.0.5	seurat_clusters	cond.time	time.rep	initial_clusters	fastmnn_clusters	progen_clusters	if_progen_cluster	time.progen_clusters	raw_pseudotime	monocle_pseudotime	pscondition	sample_or_progen_cluster
white_day1_rep2	27678	6020	white_day1_rep2	white	day1	rep2	1.46686899342438	7	5	white.day1	day1.rep2	7	5	NA	t7	day1	20.7918314105327	0.531430415137537	white	white.day1
white_day1_rep2	18913	3712	white_day1_rep2	white	day1	rep2	2.43218949928621	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	24.3668555095584	0.450862834298786	white	white.day1
white_day1_rep2	31273	5357	white_day1_rep2	white	day1	rep2	0.594762254980335	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.8340913040892	0.327651927284084	white	white.day1
white_day1_rep2	35775	5232	white_day1_rep2	white	day1	rep2	1.88120195667365	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.4011315571414	0.382481678262005	white	white.day1
white_day1_rep2	51185	6659	white_day1_rep2	white	day1	rep2	1.72120738497607	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.0095958547439	0.346232949936327	white	white.day1
white_day1_rep2	37038	5367	white_day1_rep2	white	day1	rep2	1.15287002537934	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.450385766936	0.313762970851758	white	white.day1
white_day1_rep2	37581	6348	white_day1_rep2	white	day1	rep2	1.87860887150422	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	28.2093337748996	0.364267843694837	white	white.day1
white_day1_rep2	28575	5173	white_day1_rep2	white	day1	rep2	1.75678040244969	0	2	white.day1	day1.rep2	0	2	NA	t0	day1	34.4092353422889	0.224545409135845	white	white.day1
white_day1_rep2	36370	6405	white_day1_rep2	white	day1	rep2	0.519659059664559	9	7	white.day1	day1.rep2	9	7	NA	t9	day1	43.8369276134115	0.0120807269023631	white	white.day1
white_day1_rep2	25094	4660	white_day1_rep2	white	day1	rep2	1.94867298955926	10	4	white.day1	day1.rep2	10	4	NA	t10	day1	36.3176151675915	0.181537714198065	white	white.day1
white_day1_rep2	38707	5486	white_day1_rep2	white	day1	rep2	1.33825922959671	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.512518045661	0.334898977590977	white	white.day1
white_day1_rep2	19792	4297	white_day1_rep2	white	day1	rep2	2.16248989490703	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	28.5048425261523	0.357608189229404	white	white.day1
white_day1_rep2	19794	4103	white_day1_rep2	white	day1	rep2	2.04607456805092	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	23.306752634384	0.474753561109909	white	white.day1
white_day1_rep2	22296	4254	white_day1_rep2	white	day1	rep2	1.87926085396484	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	28.209334030642	0.364267837931366	white	white.day1
white_day1_rep2	17805	3693	white_day1_rep2	white	day1	rep2	2.30834035383319	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	24.4462814086298	0.44907287362527	white	white.day1
white_day1_rep2	25389	4407	white_day1_rep2	white	day1	rep2	2.59561227303163	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.3800489205896	0.382956801499676	white	white.day1
white_day1_rep2	23499	4487	white_day1_rep2	white	day1	rep2	1.24260606834333	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.2770489414796	0.385278033165105	white	white.day1
white_day1_rep2	22509	4193	white_day1_rep2	white	day1	rep2	1.43053889555289	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.4196418094829	0.382064526877688	white	white.day1
white_day1_rep2	16420	3625	white_day1_rep2	white	day1	rep2	2.58830694275274	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	28.2093342863844	0.364267832167896	white	white.day1
white_day1_rep2	37620	6263	white_day1_rep2	white	day1	rep2	2.15576820839979	9	0	white.day1	day1.rep2	9	0	NA	t9	day1	24.4120304497744	0.449844761260138	white	white.day1
white_day1_rep2	35540	5504	white_day1_rep2	white	day1	rep2	1.95554305008441	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.9691378751627	0.30207225178046	white	white.day1
white_day1_rep2	26983	4876	white_day1_rep2	white	day1	rep2	2.39780602601638	0	4	white.day1	day1.rep2	0	4	NA	t0	day1	28.2093345421268	0.364267826404425	white	white.day1
white_day1_rep2	35321	5472	white_day1_rep2	white	day1	rep2	0.35955946887121	7	5	white.day1	day1.rep2	7	5	NA	t7	day1	22.2173867218802	0.499303766587558	white	white.day1
white_day1_rep2	33727	4819	white_day1_rep2	white	day1	rep2	1.01402437216473	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	33.1056412566393	0.253923510924058	white	white.day1
white_day1_rep2	22506	3827	white_day1_rep2	white	day1	rep2	1.64844930240825	6	2	white.day1	day1.rep2	6	2	NA	t6	day1	42.8003917927615	0.0354403410502059	white	white.day1
white_day1_rep2	18656	3908	white_day1_rep2	white	day1	rep2	2.76050600343053	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.6869433957424	0.330968087028074	white	white.day1
white_day1_rep2	30847	5247	white_day1_rep2	white	day1	rep2	1.8964567056764	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.2961303451178	0.384848010181329	white	white.day1
white_day1_rep2	31556	5080	white_day1_rep2	white	day1	rep2	0.659145645835974	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	33.1056415123817	0.253923505160588	white	white.day1
white_day1_rep2	39998	5752	white_day1_rep2	white	day1	rep2	1.89009450472524	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.3653849560188	0.383287272041481	white	white.day1
white_day1_rep2	29171	4812	white_day1_rep2	white	day1	rep2	1.77230811422303	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	27.3249214145704	0.384199167893471	white	white.day1
white_day1_rep2	22552	4625	white_day1_rep2	white	day1	rep2	2.08407236608726	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	24.3079619382213	0.452190073623097	white	white.day1
white_day1_rep2	28258	5157	white_day1_rep2	white	day1	rep2	1.11472857243966	7	5	white.day1	day1.rep2	7	5	NA	t7	day1	22.837276933482	0.485333775518689	white	white.day1
white_day1_rep2	23042	4219	white_day1_rep2	white	day1	rep2	0.737783178543529	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	29.6323914793317	0.332197481799574	white	white.day1
white_day1_rep2	33261	5247	white_day1_rep2	white	day1	rep2	1.87005802591624	6	2	white.day1	day1.rep2	6	2	NA	t6	day1	36.3479191229735	0.180854777158387	white	white.day1
white_day1_rep2	24280	4406	white_day1_rep2	white	day1	rep2	1.7339373970346	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	32.7791909428438	0.261280471693561	white	white.day1
white_day1_rep2	24258	3989	white_day1_rep2	white	day1	rep2	0.61423035699563	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	32.8372527373319	0.25997197748723	white	white.day1
white_day1_rep2	28262	4393	white_day1_rep2	white	day1	rep2	1.15349232184559	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	28.2093347978692	0.364267820640955	white	white.day1
white_day1_rep2	34945	4808	white_day1_rep2	white	day1	rep2	0.615252539705251	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	30.4503860226784	0.313762965088288	white	white.day1
white_day1_rep2	29270	4513	white_day1_rep2	white	day1	rep2	1.35292107960369	6	2	white.day1	day1.rep2	6	2	NA	t6	day1	36.0534207720838	0.18749166100447	white	white.day1
white_day1_rep2	25947	4410	white_day1_rep2	white	day1	rep2	1.3720275947123	0	2	white.day1	day1.rep2	0	2	NA	t0	day1	36.0534210278262	0.187491655240999	white	white.day1
white_day1_rep2	34085	5232	white_day1_rep2	white	day1	rep2	1.22634589995599	0	0	white.day1	day1.rep2	0	0	NA	t0	day1	32.7791911985862	0.26128046593009	white	white.day1
