Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
s1.up	GOMF_SERINE_HYDROLASE_ACTIVITY	GOMF_SERINE_HYDROLASE_ACTIVITY	31/2236	98/13084	0.000295673652882007	0.00823359865976117	0.00714535055099909	RHBDF1/PRSS3/HGF/FAP/MMP2/CTSH/PLAT/CPD/CTSC/AADAC/PLAU/F10/MASP1/C1RL/CTSK/NCEH1/MMP3/PRSS53/MMP14/C1R/ACE/PRSS12/HTRA1/HTRA4/HTRA3/C1S/RELN/ELANE/DPP4/CFB/HP	31
s3.up	GOMF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	GOMF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	4/350	9/13084	5.70220387271695e-05	0.00837511193805302	0.0077384908872635	CACNA1G/CACNA1A/CACNA1C/CACNB2	4
s2.up	REACTOME_CRISTAE_FORMATION	REACTOME_CRISTAE_FORMATION	14/1954	31/13084	5.63245959274222e-05	0.00840779618933041	0.00825173604358485	SAMM50/CHCHD3/ATP5F1B/HSPA9/ATP5PB/ATP5F1E/IMMT/ATP5F1A/ATP5PF/ATP5F1C/ATP5PD/APOO/MT-ATP8/ATP5PO	14
s6.up	GOBP_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	GOBP_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	12/1587	31/13084	0.000149190743675551	0.0084930975024632	0.00800918729205592	HSD17B6/DKK3/AKR1B1/HSD17B7/CYP11A1/SRD5A1/HSD17B12/BMP6/WNT4/CACNA1H/HSD17B8/DHRS11	12
s6.up	GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS	50/1587	246/13084	0.000150066943885085	0.00849577886182576	0.00801171587592368	ELOVL5/SPHK2/ME1/ELOVL1/ACAT1/ADCY2/DLD/TECR/SLC25A1/MLYCD/QPRT/GCDH/NMRK1/PDHX/ATP5F1B/NME5/ATP5PB/SDHB/ELOVL3/DMAC2L/PPCS/NDUFA10/ACSS2/ACLY/PDHA1/NDUFB5/AK7/SDHC/NAPRT/AK3/HSD17B12/ATPSCKMT/ACSL1/ATP5F1A/PDK1/PANK1/PID1/PINK1/NDUFS2/ACSL6/ATP5F1C/HPRT1/TK2/PDHB/DNAJC30/SHMT1/ADA/ACSL5/PNP/SDHD	50
s1.up	GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS	GOBP_NEGATIVE_REGULATION_OF_CHEMOTAXIS	15/2236	35/13084	0.000309209891937186	0.00850553453967704	0.00738134422395882	NRP1/RIN3/WNT5A/DUSP1/PLXNA3/C5AR2/CCN3/THBS1/CYP19A1/SLIT2/NBL1/GREM1/ROBO2/ELANE/DPP4	15
s1.up	GOBP_NEGATIVE_REGULATION_OF_COAGULATION	GOBP_NEGATIVE_REGULATION_OF_COAGULATION	15/2236	35/13084	0.000309209891937186	0.00850553453967704	0.00738134422395882	TFPI/PLAUR/FAP/PROCR/PLAT/SERPINE1/VTN/ADTRP/PLAU/PDGFRA/SERPINE2/THBS1/SERPING1/SERPINF2/PROS1	15
s1.up	GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_MIGRATION	GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_MIGRATION	15/2236	35/13084	0.000309209891937186	0.00850553453967704	0.00738134422395882	SSH1/NRP1/CCN4/VTN/PDGFRB/IGFBP5/NR4A3/TLR4/CYP1B1/DOCK5/ADAMTS1/DDR2/ITGA2/PDGFD/LPAR1	15
s1.up	GOBP_PRESYNAPSE_ORGANIZATION	GOBP_PRESYNAPSE_ORGANIZATION	15/2236	35/13084	0.000309209891937186	0.00850553453967704	0.00738134422395882	DKK1/MDGA1/CAP2/WNT5A/CLSTN3/PTPRD/FZD1/LRFN5/NLGN1/NLGN2/SLITRK4/IL1RAP/NLGN3/NTNG2/C5AR1	15
s1.up	REACTOME_COMPLEMENT_CASCADE	REACTOME_COMPLEMENT_CASCADE	15/2236	35/13084	0.000309209891937186	0.00850553453967704	0.00738134422395882	CD59/VTN/C9/COLEC11/CLU/MASP1/C5AR2/SERPING1/C1R/C1S/PROS1/CD55/C5AR1/ELANE/CFB	15
s3.up	GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN	6/350	27/13084	6.4562691740506e-05	0.00850724769087634	0.00786058254725183	HPX/SERPING1/NOD2/C1QB/C1S/ZP3	6
s3.up	GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	GOCC_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	6/350	27/13084	6.4562691740506e-05	0.00850724769087634	0.00786058254725183	CD74/HLA-DRB1/HLA-DRB5/HLA-DRA/HLA-DPB1/HLA-DPA1	6
s3.up	WP_ALLOGRAFT_REJECTION	WP_ALLOGRAFT_REJECTION	8/350	52/13084	6.51618972067124e-05	0.00850724769087634	0.00786058254725183	C1QB/HLA-DRB1/HLA-DRB5/HLA-DOA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB	8
s3.up	GOMF_IMMUNE_RECEPTOR_ACTIVITY	GOMF_IMMUNE_RECEPTOR_ACTIVITY	9/350	66/13084	6.10508120126696e-05	0.00850724769087634	0.00786058254725183	CD74/IL1RL2/ACKR4/IL17RD/HLA-DRB1/HLA-DOA/HLA-DRA/HLA-DPA1/HLA-DOB	9
s3.up	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	10/350	82/13084	6.37675045001219e-05	0.00850724769087634	0.00786058254725183	CD74/ICAM1/NOD2/HLA-DRB1/HLA-DRB5/HLA-DOA/HLA-DRA/HLA-DPB1/HLA-DPA1/HLA-DOB	10
s1.up	GOMF_STRUCTURAL_MOLECULE_ACTIVITY_CONFERRING_ELASTICITY	GOMF_STRUCTURAL_MOLECULE_ACTIVITY_CONFERRING_ELASTICITY	7/2236	10/13084	0.000312684806043531	0.00855936709358968	0.00742806164178016	AHNAK/LAMC1/FBN2/FBLN5/TTN/FBLN2/FBN1	7
