Gene	alignment_similarity_percentage	opt_alignment_cost	l2fc	color	abs_l2fc
D:r1@ADDG13030900306.R	1.0	-2.7888714937232	0.5281853237598455	green	0.5281853237598455
D:r1@ADDG01040230137.R	1.0	-2.6885471695661036	0.5281853237598453	green	0.5281853237598453
D:r1@ADDG12032370347.F	1.0	-2.7886413114540187	0.5281853237598453	green	0.5281853237598453
D:r1@ADDG02241219743.R	1.0	-2.690761574113313	0.5281853237598453	green	0.5281853237598453
D:r1@ADDG22031690652.R	1.0	-2.3527867224533074	0.5281853237598453	green	0.5281853237598453
D:r1@ADDG04188513497.F	1.0	-2.690761574688015	0.5281853237598453	green	0.5281853237598453
D:r1@ADDG06025297098.R	1.0	-1.3707867238525941	-0.5267125691596599	green	0.5267125691596599
D:r1@ADDG06019824502.R	1.0	-2.115333259310947	-0.5249410645380914	green	0.5249410645380914
D:r1@ADDG20036794781.R	1.0	-2.721844461973175	0.5200299332987935	green	0.5200299332987935
D:r1@ADDG04098924604.R	1.0	-2.2334461914343735	-0.5168493318007463	green	0.5168493318007463
D:r2@ADDG05142512743.B	1.0	-2.766536300627626	-0.5168493318007463	green	0.5168493318007463
D:r1@ADDG01155735098.F	1.0	-2.313775229957255	0.5034365396709511	green	0.5034365396709511
D:r1@ADDG13107757428.R	1.0	-2.537971418464315	-0.5031658904624238	green	0.5031658904624238
P:r1@AC063919.1	1.0	-2.1837459891140396	0.499527668333888	green	0.499527668333888
D:r1@ADDG19039010152.R	1.0	-2.7434122176507407	0.4854268271702421	green	0.4854268271702421
D:r1@ADDG01056255668.R	1.0	-2.7433840349388103	0.4854268271702419	green	0.4854268271702419
D:r1@ADDG0X016824925.F	1.0	-2.6183873790452927	-0.4854268271702417	green	0.4854268271702417
P:r1@INSL4	1.0	-2.7218444622415774	-0.47997006670120623	green	0.47997006670120623
D:r1@ADDG15030762740.F	1.0	-1.3707867238525941	0.47505893546190864	green	0.47505893546190864
