"simple_id"	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"	"proximity"
"P:r1@TUBB3"	3.08142914487288e-16	1.51839105098677	0.831	0.523	2.31467713075416e-11	"9"	"TUBB3"	"P"
"P:r1@GIPC1"	3.12354859465835e-16	1.36976696116303	0.857	0.484	2.34631599784951e-11	"9"	"GIPC1"	"P"
"P:r1@CLIC4"	3.21824397256863e-16	0.97949968744506	0.974	0.908	2.41744832487438e-11	"9"	"CLIC4"	"P"
"P:r1@SPG7"	3.25901847203631e-16	0.568903576309912	0.663	0.437	2.44807690563951e-11	"6"	"SPG7"	"P"
"P:r1@MPRIP"	3.2956586571659e-16	1.77569411507714	0.662	0.32	2.47559991350331e-11	"9"	"MPRIP"	"P"
"P:r1@SLK"	3.50201441238136e-16	0.566937488921605	0.61	0.383	2.63060816614851e-11	"6"	"SLK"	"P"
"P:r1@EXOG"	3.55592532951465e-16	0.803011799997849	0.287	0.139	2.67110442977152e-11	"6"	"EXOG"	"P"
"P:r1@MRPL48"	3.78192404192018e-16	0.529227338669294	0.606	0.372	2.84086788256918e-11	"6"	"MRPL48"	"P"
"P:r1@DDB1"	3.80587496091419e-16	1.25867556408537	0.909	0.688	2.85885909438991e-11	"9"	"DDB1"	"P"
"P:r1@CWF19L1"	3.89615729671174e-16	0.628783717479504	0.392	0.209	2.92667647657096e-11	"6"	"CWF19L1"	"P"
"P:r3@DLC1"	3.90769151510672e-16	0.773873127916665	0.321	0.162	2.93534063540272e-11	"6"	"DLC1"	"P"
"P:r1@YBX1"	3.98555144922002e-16	1.06940387336373	0.962	0.998	2.9938266821106e-11	"8"	"YBX1"	"P"
"P:r1@PFKP"	4.10188029791057e-16	1.75795927194488	0.688	0.334	3.08120942338148e-11	"9"	"PFKP"	"P"
"P:r1@ODF2L"	4.25549229671001e-16	0.563801861002413	0.532	0.311	3.19659814851966e-11	"6"	"ODF2L"	"P"
"P:r1@GTF2H1"	4.44356313517802e-16	0.512012836306433	0.599	0.372	3.33787132025167e-11	"6"	"GTF2H1"	"P"
"P:r1@EED"	4.52681323763253e-16	0.594093172622395	0.423	0.231	3.40040629971243e-11	"6"	"EED"	"P"
"P:r1@TUBA1B"	4.69236447567735e-16	1.36425606071884	0.987	0.919	3.52476342319455e-11	"9"	"TUBA1B"	"P"
"P:r1@CH25H"	4.71987275659297e-16	0.932986773496733	0.304	0.154	3.54542681856994e-11	"6"	"CH25H"	"P"
"D:r1@ADDG03170432965.B"	4.85258871391186e-16	1.73021875971623	0.688	0.322	3.64511906422917e-11	"9"	"ADDG03170432965.B"	"D"
"P:r1@SSPN"	5.11760300043721e-16	0.732158847556524	0.273	0.128	3.84418984583842e-11	"6"	"SSPN"	"P"
"P:r1@NRCAM"	5.17099915747344e-16	0.655860530804175	0.546	0.484	3.88429943711932e-11	"5"	"NRCAM"	"P"
"D:r2@ADDG09014316135.B"	5.18082292346715e-16	0.516757174002804	0.276	0.116	3.89167875542082e-11	"7"	"ADDG09014316135.B"	"D"
"P:r1@DNAJC24"	5.2257632540516e-16	0.59159812009133	0.387	0.204	3.92543658354594e-11	"6"	"DNAJC24"	"P"
"P:r1@ZNF181"	5.25352089317367e-16	0.657921435446063	0.25	0.197	3.94628728932527e-11	"4"	"ZNF181"	"P"
